repo_name,file_html,cl,me,stmt_code,parent_code,code,complicate_code,temporary_flag,create_fun_flag,temprorary,func
optuna,https://github.com/optuna/optuna/tree/master/optuna/samplers/_tpe/sampler.py,,_get_observation_pairs$586,"values: Dict[str, List[Optional[float]]] = {param_name: [] for param_name in param_names}","values: Dict[str, List[Optional[float]]] = {param_name: [] for param_name in param_names}","values: Dict[str, List[Optional[float]]] = {param_name: [] for param_name in param_names}","values = dict()
for param_name in param_names:
    values[param_name] = []
",0,0,0,0
PythonProgrammingPuzzles,https://github.com/microsoft/PythonProgrammingPuzzles/tree/master/solvers/enumerative/tython/rules.py,,check_dead_end_rules$1297,"live_rules_by_nt = {t: [r for r in rules2 if all((live_rules_by_nt.get(k) for k in r.kids))] for (t, rules2) in live_rules_by_nt.items()}","live_rules_by_nt = {t: [r for r in rules2 if all((live_rules_by_nt.get(k) for k in r.kids))] for (t, rules2) in live_rules_by_nt.items()}","live_rules_by_nt = {t: [r for r in rules2 if all((live_rules_by_nt.get(k) for k in r.kids))] for (t, rules2) in live_rules_by_nt.items()}","tmp_DictComp0 = dict()
for (t, rules2) in live_rules_by_nt.items():
    tmp_DictComp0[t] = [r for r in rules2 if all((live_rules_by_nt.get(k) for k in r.kids))]
live_rules_by_nt = tmp_DictComp0",1,0,1,0
astropy,https://github.com/astropy/astropy/tree/master/astropy/modeling/tests/test_bounding_box.py,TestModelBoundingBox,test_named_intervals$839,"intervals = {idx: _Interval(idx, idx + 1) for idx in range(4)}","intervals = {idx: _Interval(idx, idx + 1) for idx in range(4)}","intervals = {idx: _Interval(idx, idx + 1) for idx in range(4)}","intervals = dict()
for idx in range(4):
    intervals[idx] = _Interval(idx, idx + 1)
",0,0,0,0
rotki,https://github.com/rotki/rotki/tree/master/rotkehlchen/tests/utils/history.py,,assert_pnl_debug_import$1182,"serialized_ignored_actions_from_db = {k.serialize(): v for (k, v) in ignored_actions_ids_from_db.items()}","serialized_ignored_actions_from_db = {k.serialize(): v for (k, v) in ignored_actions_ids_from_db.items()}","serialized_ignored_actions_from_db = {k.serialize(): v for (k, v) in ignored_actions_ids_from_db.items()}","serialized_ignored_actions_from_db = dict()
for (k, v) in ignored_actions_ids_from_db.items():
    serialized_ignored_actions_from_db[k.serialize()] = v
",0,0,0,0
mars,https://github.com/mars-project/mars/tree/master/mars/dataframe/reduction/core.py,ReductionCompiler,_gen_expr_str$1037,keys_to_vars = {inp.key: local_key_to_var[inp.key] for inp in t.inputs},keys_to_vars = {inp.key: local_key_to_var[inp.key] for inp in t.inputs},keys_to_vars = {inp.key: local_key_to_var[inp.key] for inp in t.inputs},"keys_to_vars = dict()
for inp in t.inputs:
    keys_to_vars[inp.key] = local_key_to_var[inp.key]
",0,0,0,0
oppia,https://github.com/oppia/oppia/tree/master/core/domain/recommendations_services.py,,create_default_topic_similarities$154,"topic_similarities_dict: Dict[str, Dict[str, float]] = {topic: {} for topic in RECOMMENDATION_CATEGORIES}","topic_similarities_dict: Dict[str, Dict[str, float]] = {topic: {} for topic in RECOMMENDATION_CATEGORIES}","topic_similarities_dict: Dict[str, Dict[str, float]] = {topic: {} for topic in RECOMMENDATION_CATEGORIES}","topic_similarities_dict = dict()
for topic in RECOMMENDATION_CATEGORIES:
    topic_similarities_dict[topic] = {}
",0,0,0,0
pandas,https://github.com/pandas-dev/pandas/tree/master/pandas/io/xml.py,_XMLFrameParser,_parse_nodes$188,dicts = [{ch.tag: ch.text.strip() if ch.text else None for ch in el.findall('*')} for el in elems],[{ch.tag: ch.text.strip() if ch.text else None for ch in el.findall('*')} for el in elems],[{ch.tag: ch.text.strip() if ch.text else None for ch in el.findall('*')} for el in elems],"def my_comprehension_func(el):
    tmp_DictComp0 = dict()
    for ch in el.findall('*'):
        tmp_DictComp0[ch.tag] = ch.text.strip() if ch.text else None
    return tmp_DictComp0
dicts = [{ch.tag: ch.text.strip() if ch.text else None for ch in el.findall('*')} for el in elems]",1,1,1,1
autogluon,https://github.com/awslabs/autogluon/tree/master/core/src/autogluon/core/models/ensemble/stacker_ensemble_model.py,StackerEnsembleModel,limit_models$94,model_types = {model: '' for model in models},model_types = {model: '' for model in models},model_types = {model: '' for model in models},"model_types = dict()
for model in models:
    model_types[model] = ''
",0,0,0,0
ludwig,https://github.com/ludwig-ai/ludwig/tree/master/ludwig/utils/strings_utils.py,,create_vocabulary$168,str2freq = {unit: unit_counts.get(unit) if unit in unit_counts else 0 for unit in vocab},str2freq = {unit: unit_counts.get(unit) if unit in unit_counts else 0 for unit in vocab},str2freq = {unit: unit_counts.get(unit) if unit in unit_counts else 0 for unit in vocab},"str2freq = dict()
for unit in vocab:
    str2freq[unit] = unit_counts.get(unit) if unit in unit_counts else 0
",0,0,0,0
SMARTS,https://github.com/huawei-noah/SMARTS/tree/master/examples/multi_agent.py,,main$17,"actions = {agent_id: agents[agent_id].act(agent_obs) for (agent_id, agent_obs) in observations.items()}","actions = {agent_id: agents[agent_id].act(agent_obs) for (agent_id, agent_obs) in observations.items()}","actions = {agent_id: agents[agent_id].act(agent_obs) for (agent_id, agent_obs) in observations.items()}","actions = dict()
for (agent_id, agent_obs) in observations.items():
    actions[agent_id] = agents[agent_id].act(agent_obs)
",0,0,0,0
fairseq,https://github.com/pytorch/fairseq/tree/master/examples/textless_nlp/gslm/unit2speech/tacotron2/utils.py,CudaTimer,value$116,return {k: self.running_times[k] / self.n[k] for k in self.keys},return {k: self.running_times[k] / self.n[k] for k in self.keys},return {k: self.running_times[k] / self.n[k] for k in self.keys},"tmp_DictComp0 = dict()
for k in self.keys:
    tmp_DictComp0[k] = self.running_times[k] / self.n[k]
return tmp_DictComp0",1,0,1,0
sparseml,https://github.com/neuralmagic/sparseml/tree/master/src/sparseml/pytorch/optim/analyzer_module.py,ModuleAnalyzer,_softmax_hook$454,"params = {key: val for (key, val) in mod.named_parameters()}","params = {key: val for (key, val) in mod.named_parameters()}","params = {key: val for (key, val) in mod.named_parameters()}","params = dict()
for (key, val) in mod.named_parameters():
    params[key] = val
",0,0,0,0
intake,https://github.com/intake/intake/tree/master/intake/catalog/tests/test_remote_integration.py,,test_read_direct$139,"assert info['dtype'] == {k: str(v) for (k, v) in meta.dtypes.to_dict().items()}","info['dtype'] == {k: str(v) for (k, v) in meta.dtypes.to_dict().items()}","info['dtype'] == {k: str(v) for (k, v) in meta.dtypes.to_dict().items()}","tmp_DictComp0 = dict()
for (k, v) in meta.dtypes.to_dict().items():
    tmp_DictComp0[k] = str(v)
assert info['dtype'] == tmp_DictComp0",1,0,1,0
nlp-architect,https://github.com/IntelLabs/nlp-architect/tree/master/solutions/trend_analysis/np_scorer.py,NPScorer,score_documents$56,fr = {tuple(k[0]): k[1] for k in freq_scored_list},fr = {tuple(k[0]): k[1] for k in freq_scored_list},fr = {tuple(k[0]): k[1] for k in freq_scored_list},"fr = dict()
for k in freq_scored_list:
    fr[tuple(k[0])] = k[1]
",0,0,0,0
salt,https://github.com/saltstack/salt/tree/master/salt/states/boto3_elasticache.py,,cache_cluster_absent$510,"args = {k: v for (k, v) in args.items() if not k.startswith('_')}","args = {k: v for (k, v) in args.items() if not k.startswith('_')}","args = {k: v for (k, v) in args.items() if not k.startswith('_')}","tmp_DictComp0 = dict()
for (k, v) in args.items():
    if not k.startswith('_'):
        tmp_DictComp0[k] = v
args = tmp_DictComp0",1,0,1,0
X-Temporal,https://github.com/Sense-X/X-Temporal/tree/master/x_temporal/utils/utils.py,,load_checkpoint$84,"return {f(key): value for (key, value) in state_dict.items()}","return {f(key): value for (key, value) in state_dict.items()}","return {f(key): value for (key, value) in state_dict.items()}","tmp_DictComp0 = dict()
for (key, value) in state_dict.items():
    tmp_DictComp0[f(key)] = value
return tmp_DictComp0",1,0,1,0
alembic,https://github.com/sqlalchemy/alembic/tree/master/alembic/autogenerate/compare.py,,_compare_foreign_keys$1226,conn_fks_by_sig = {c.sig: c for c in conn_fks_sig},conn_fks_by_sig = {c.sig: c for c in conn_fks_sig},conn_fks_by_sig = {c.sig: c for c in conn_fks_sig},"conn_fks_by_sig = dict()
for c in conn_fks_sig:
    conn_fks_by_sig[c.sig] = c
",0,0,0,0
explainerdashboard,https://github.com/oegedijk/explainerdashboard/tree/master/explainerdashboard/dashboard_methods.py,,decode_callables$104,"return {k: decode_callables(v) for (k, v) in obj.items()}","return {k: decode_callables(v) for (k, v) in obj.items()}","return {k: decode_callables(v) for (k, v) in obj.items()}","tmp_DictComp0 = dict()
for (k, v) in obj.items():
    tmp_DictComp0[k] = decode_callables(v)
return tmp_DictComp0",1,0,1,0
instagrapi,https://github.com/adw0rd/instagrapi/tree/master/instagrapi/mixins/user.py,UserMixin,user_followers$664,self._users_followers[user_id] = {user.pk: user for user in users},self._users_followers[user_id] = {user.pk: user for user in users},self._users_followers[user_id] = {user.pk: user for user in users},"self._users_followers[user_id] = dict()
for user in users:
    self._users_followers[user_id][user.pk] = user
",0,0,0,0
cloud-custodian,https://github.com/cloud-custodian/cloud-custodian/tree/master/tools/sandbox/c7n_index/c7n_index/metrics.py,,index_account_metrics$242,"dims = {d['Name']: d['Value'] for d in metric.get('Dimensions', ())}","dims = {d['Name']: d['Value'] for d in metric.get('Dimensions', ())}","dims = {d['Name']: d['Value'] for d in metric.get('Dimensions', ())}","dims = dict()
for d in metric.get('Dimensions', ()):
    dims[d['Name']] = d['Value']
",0,0,0,0
lit,https://github.com/PAIR-code/lit/tree/master/lit_nlp/api/model.py,,scrub_numpy_refs$64,"return {k: maybe_copy(v) for (k, v) in output.items()}","return {k: maybe_copy(v) for (k, v) in output.items()}","return {k: maybe_copy(v) for (k, v) in output.items()}","tmp_DictComp0 = dict()
for (k, v) in output.items():
    tmp_DictComp0[k] = maybe_copy(v)
return tmp_DictComp0",1,0,1,0
abu,https://github.com/bbfamily/abu/tree/master/abupy/WidgetBu/ABuWGToolBase.py,WidgetToolBase,_fetch_multi_kl_col$231,"kl_dict = {symbol: ABuSymbolPd.make_kl_df(symbol, start=start, end=end, n_folds=n_folds) for symbol in choice_symbol}","kl_dict = {symbol: ABuSymbolPd.make_kl_df(symbol, start=start, end=end, n_folds=n_folds) for symbol in choice_symbol}","kl_dict = {symbol: ABuSymbolPd.make_kl_df(symbol, start=start, end=end, n_folds=n_folds) for symbol in choice_symbol}","kl_dict = dict()
for symbol in choice_symbol:
    kl_dict[symbol] = ABuSymbolPd.make_kl_df(symbol, start=start, end=end, n_folds=n_folds)
",0,0,0,0
lmfit-py,https://github.com/lmfit/lmfit-py/tree/master/lmfit/model.py,ModelResult,dumps$1626,out['unique_symbols'] = {key: encode4js(pasteval.symtable[key]) for key in pasteval.user_defined_symbols()},out['unique_symbols'] = {key: encode4js(pasteval.symtable[key]) for key in pasteval.user_defined_symbols()},out['unique_symbols'] = {key: encode4js(pasteval.symtable[key]) for key in pasteval.user_defined_symbols()},"out['unique_symbols'] = dict()
for key in pasteval.user_defined_symbols():
    out['unique_symbols'][key] = encode4js(pasteval.symtable[key])
",0,0,0,0
PettingZoo,https://github.com/Farama-Foundation/PettingZoo/tree/master/pettingzoo/mpe/_mpe_utils/simple_env.py,SimpleEnv,reset$146,self.rewards = {name: 0.0 for name in self.agents},self.rewards = {name: 0.0 for name in self.agents},self.rewards = {name: 0.0 for name in self.agents},"tmp_DictComp0 = dict()
for name in self.agents:
    tmp_DictComp0[name] = 0.0
self.rewards = tmp_DictComp0",1,0,1,0
sympy,https://github.com/sympy/sympy/tree/master/sympy/vector/implicitregion.py,ImplicitRegion,_regular_point_ellipse$159,rep = {s: 3 for s in syms},rep = {s: 3 for s in syms},rep = {s: 3 for s in syms},"rep = dict()
for s in syms:
    rep[s] = 3
",0,0,0,0
wagtail,https://github.com/wagtail/wagtail/tree/master/wagtail/core/blocks/stream_block.py,StreamBlockAdapter,js_args$588,"return [block.name, block.grouped_child_blocks(), {name: child_block.get_form_state(child_block.get_default()) for (name, child_block) in block.child_blocks.items()}, meta]","[block.name, block.grouped_child_blocks(), {name: child_block.get_form_state(child_block.get_default()) for (name, child_block) in block.child_blocks.items()}, meta]","[block.name, block.grouped_child_blocks(), {name: child_block.get_form_state(child_block.get_default()) for (name, child_block) in block.child_blocks.items()}, meta]","def my_comprehension_func(block):
    tmp_DictComp0 = dict()
    for (name, child_block) in block.child_blocks.items():
        tmp_DictComp0[name] = child_block.get_form_state(child_block.get_default())
    return tmp_DictComp0
return [block.name, block.grouped_child_blocks(), my_comprehension_func(block), meta]",1,1,1,0
conda,https://github.com/conda/conda/tree/master/tests/test_create.py,IntegrationTests,test_strict_resolve_get_reduced_index$841,"channel_name_groups = {name: channel_names for (name, channel_names) in iteritems(channel_name_groups) if len(channel_names) > 1}","channel_name_groups = {name: channel_names for (name, channel_names) in iteritems(channel_name_groups) if len(channel_names) > 1}","channel_name_groups = {name: channel_names for (name, channel_names) in iteritems(channel_name_groups) if len(channel_names) > 1}","tmp_DictComp0 = dict()
for (name, channel_names) in iteritems(channel_name_groups):
    if len(channel_names) > 1:
        tmp_DictComp0[name] = channel_names
channel_name_groups = tmp_DictComp0",1,0,1,0
trueskill,https://github.com/sublee/trueskill/tree/master//trueskillhelpers.py,,variable_set$105,"old_messages = {fac: Gaussian(pi=msg.pi, tau=msg.tau) for (fac, msg) in self.messages.items()}","old_messages = {fac: Gaussian(pi=msg.pi, tau=msg.tau) for (fac, msg) in self.messages.items()}","old_messages = {fac: Gaussian(pi=msg.pi, tau=msg.tau) for (fac, msg) in self.messages.items()}","old_messages = dict()
for (fac, msg) in self.messages.items():
    old_messages[fac] = Gaussian(pi=msg.pi, tau=msg.tau)
",0,0,0,0
simpletransformers,https://github.com/ThilinaRajapakse/simpletransformers/tree/master/simpletransformers/retrieval/retrieval_model.py,RetrievalModel,_get_last_metrics$1757,"return {metric: values[-1] for (metric, values) in metric_values.items()}","return {metric: values[-1] for (metric, values) in metric_values.items()}","return {metric: values[-1] for (metric, values) in metric_values.items()}","tmp_DictComp0 = dict()
for (metric, values) in metric_values.items():
    tmp_DictComp0[metric] = values[-1]
return tmp_DictComp0",1,0,1,0
hall-of-fame,https://github.com/sourcerer-io/hall-of-fame/tree/master/fame/avatar.py,Badger,__init__$36,self.symbols.update({s: 30 for s in 'mw'}),self.symbols.update({s: 30 for s in 'mw'}),self.symbols.update({s: 30 for s in 'mw'}),"tmp_DictComp0 = dict()
for s in 'mw':
    tmp_DictComp0[s] = 30
self.symbols.update(tmp_DictComp0)",1,0,1,0
pet,https://github.com/timoschick/pet/tree/master//petal.py,,main$119,verbalizers = {pattern_id: verbalizer for pattern_id in args.pattern_ids},verbalizers = {pattern_id: verbalizer for pattern_id in args.pattern_ids},verbalizers = {pattern_id: verbalizer for pattern_id in args.pattern_ids},"verbalizers = dict()
for pattern_id in args.pattern_ids:
    verbalizers[pattern_id] = verbalizer
",0,0,0,0
retopoflow,https://github.com/CGCookie/retopoflow/tree/master/addon_common/common/ui_core.py,UI_Element,_compute_style$1130,"style_size_hash = Hasher(self._fontid, self._fontsize, self._whitespace, {k: sc[k] for k in ['left', 'right', 'top', 'bottom', 'margin-top', 'margin-right', 'margin-bottom', 'margin-left', 'padding-top', 'padding-right', 'padding-bottom', 'padding-left', 'border-width', 'width', 'height']})","Hasher(self._fontid, self._fontsize, self._whitespace, {k: sc[k] for k in ['left', 'right', 'top', 'bottom', 'margin-top', 'margin-right', 'margin-bottom', 'margin-left', 'padding-top', 'padding-right', 'padding-bottom', 'padding-left', 'border-width', 'width', 'height']})","Hasher(self._fontid, self._fontsize, self._whitespace, {k: sc[k] for k in ['left', 'right', 'top', 'bottom', 'margin-top', 'margin-right', 'margin-bottom', 'margin-left', 'padding-top', 'padding-right', 'padding-bottom', 'padding-left', 'border-width', 'width', 'height']})","tmp_DictComp0 = dict()
for k in ['left', 'right', 'top', 'bottom', 'margin-top', 'margin-right', 'margin-bottom', 'margin-left', 'padding-top', 'padding-right', 'padding-bottom', 'padding-left', 'border-width', 'width', 'height']:
    tmp_DictComp0[k] = sc[k]
style_size_hash = Hasher(self._fontid, self._fontsize, self._whitespace, tmp_DictComp0)",1,0,1,0
espnet,https://github.com/espnet/espnet/tree/master/espnet/asr/pytorch_backend/asr.py,,recog$969,"char_dict = {x: i for (i, x) in enumerate(train_args.char_list)}","char_dict = {x: i for (i, x) in enumerate(train_args.char_list)}","char_dict = {x: i for (i, x) in enumerate(train_args.char_list)}","char_dict = dict()
for (i, x) in enumerate(train_args.char_list):
    char_dict[x] = i
",0,0,0,0
LibreASR,https://github.com/iceychris/LibreASR/tree/master/libreasr/lib/models.py,Transducer,decode_greedy$369,"d = {v: c for (v, c) in zip(val, cnt)}","d = {v: c for (v, c) in zip(val, cnt)}","d = {v: c for (v, c) in zip(val, cnt)}","d = dict()
for (v, c) in zip(val, cnt):
    d[v] = c
",0,0,0,0
UnsupervisedMT,https://github.com/facebookresearch/UnsupervisedMT/tree/master/PBSMT/src/dictionary.py,Dictionary,prune$58,"self.word2id = {v: k for (k, v) in self.id2word.items()}","self.word2id = {v: k for (k, v) in self.id2word.items()}","self.word2id = {v: k for (k, v) in self.id2word.items()}","tmp_DictComp0 = dict()
for (k, v) in self.id2word.items():
    tmp_DictComp0[v] = k
self.word2id = tmp_DictComp0",1,0,1,0
trax,https://github.com/google/trax/tree/master/trax/rl/policy_tasks.py,PolicyEvalTask,weight_metrics$247,"return {'weight_' + name: make_metric(fn) for (name, fn) in [('mean', jnp.mean), ('std', jnp.std), ('min', jnp.min), ('max', jnp.max)]}","return {'weight_' + name: make_metric(fn) for (name, fn) in [('mean', jnp.mean), ('std', jnp.std), ('min', jnp.min), ('max', jnp.max)]}","return {'weight_' + name: make_metric(fn) for (name, fn) in [('mean', jnp.mean), ('std', jnp.std), ('min', jnp.min), ('max', jnp.max)]}","tmp_DictComp0 = dict()
for (name, fn) in [('mean', jnp.mean), ('std', jnp.std), ('min', jnp.min), ('max', jnp.max)]:
    tmp_DictComp0['weight_' + name] = make_metric(fn)
return tmp_DictComp0",1,0,1,0
fastformers,https://github.com/microsoft/fastformers/tree/master/src/transformers/data/processors/superglue.py,DiagnosticGenderProcessor,write_preds$908,"idx2label = {i: label for (i, label) in enumerate(self.get_labels())}","idx2label = {i: label for (i, label) in enumerate(self.get_labels())}","idx2label = {i: label for (i, label) in enumerate(self.get_labels())}","idx2label = dict()
for (i, label) in enumerate(self.get_labels()):
    idx2label[i] = label
",0,0,0,0
brownie,https://github.com/eth-brownie/brownie/tree/master/brownie/test/managers/runner.py,PytestBrownieRunner,pytest_exception_interact$408,"globals_dict = {k: v for (k, v) in globals_dict.items() if k not in test_names}","globals_dict = {k: v for (k, v) in globals_dict.items() if k not in test_names}","globals_dict = {k: v for (k, v) in globals_dict.items() if k not in test_names}","tmp_DictComp0 = dict()
for (k, v) in globals_dict.items():
    if k not in test_names:
        tmp_DictComp0[k] = v
globals_dict = tmp_DictComp0",1,0,1,0
pyscaffold,https://github.com/pyscaffold/pyscaffold/tree/master/tests/system/helpers.py,,merge_env$45,"env = {k: v for (k, v) in environ.items()}","env = {k: v for (k, v) in environ.items()}","env = {k: v for (k, v) in environ.items()}","env = dict()
for (k, v) in environ.items():
    env[k] = v
",0,0,0,0
transform,https://github.com/tensorflow/transform/tree/master/tensorflow_transform/tf_metadata/metadata_io.py,,_parse_schema_json$47,"feature_spec = {feature_dict['name']: _column_schema_from_json(feature_dict) for feature_dict in schema_dict.get('feature', [])}","feature_spec = {feature_dict['name']: _column_schema_from_json(feature_dict) for feature_dict in schema_dict.get('feature', [])}","feature_spec = {feature_dict['name']: _column_schema_from_json(feature_dict) for feature_dict in schema_dict.get('feature', [])}","feature_spec = dict()
for feature_dict in schema_dict.get('feature', []):
    feature_spec[feature_dict['name']] = _column_schema_from_json(feature_dict)
",0,0,0,0
ArchiveBox,https://github.com/ArchiveBox/ArchiveBox/tree/master/archivebox/main.py,,init$271,"invalid_folders = {folder: link for (folder, link) in get_invalid_folders(all_links, out_dir=out_dir).items()}","invalid_folders = {folder: link for (folder, link) in get_invalid_folders(all_links, out_dir=out_dir).items()}","invalid_folders = {folder: link for (folder, link) in get_invalid_folders(all_links, out_dir=out_dir).items()}","invalid_folders = dict()
for (folder, link) in get_invalid_folders(all_links, out_dir=out_dir).items():
    invalid_folders[folder] = link
",0,0,0,0
tensorpack,https://github.com/tensorpack/tensorpack/tree/master/tensorpack/tfutils/sessinit.py,SaverRestoreRelaxed,_run_init$178,upd.update({x[0].name: x[1] for x in matched_pairs}),upd.update({x[0].name: x[1] for x in matched_pairs}),upd.update({x[0].name: x[1] for x in matched_pairs}),"tmp_DictComp0 = dict()
for x in matched_pairs:
    tmp_DictComp0[x[0].name] = x[1]
upd.update(tmp_DictComp0)",1,0,1,0
sympy,https://github.com/sympy/sympy/tree/master/sympy/tensor/array/expressions/conv_array_to_matrix.py,,_remove_diagonalized_identity_matrices$458,"mapping = {i: {j for j in editor.args_with_ind if i in j.indices} for i in range(-1, -1 - editor.number_of_diagonal_indices, -1)}","mapping = {i: {j for j in editor.args_with_ind if i in j.indices} for i in range(-1, -1 - editor.number_of_diagonal_indices, -1)}","mapping = {i: {j for j in editor.args_with_ind if i in j.indices} for i in range(-1, -1 - editor.number_of_diagonal_indices, -1)}","mapping = dict()
for i in range(-1, -1 - editor.number_of_diagonal_indices, -1):
    mapping[i] = {j for j in editor.args_with_ind if i in j.indices}
",0,0,0,0
data-science-competition,https://github.com/DLLXW/data-science-competition/tree/master/else/Chick-Counting/detect/val.py,,run$84,"names = {k: v for (k, v) in enumerate(model.names if hasattr(model, 'names') else model.module.names)}","names = {k: v for (k, v) in enumerate(model.names if hasattr(model, 'names') else model.module.names)}","names = {k: v for (k, v) in enumerate(model.names if hasattr(model, 'names') else model.module.names)}","names = dict()
for (k, v) in enumerate(model.names if hasattr(model, 'names') else model.module.names):
    names[k] = v
",0,0,0,0
adapter-transformers,https://github.com/Adapter-Hub/adapter-transformers/tree/master/src/transformers/models/mbart50/tokenization_mbart50.py,MBart50Tokenizer,__init__$116,"self.id_to_lang_code = {v: k for (k, v) in self.lang_code_to_id.items()}","self.id_to_lang_code = {v: k for (k, v) in self.lang_code_to_id.items()}","self.id_to_lang_code = {v: k for (k, v) in self.lang_code_to_id.items()}","tmp_DictComp0 = dict()
for (k, v) in self.lang_code_to_id.items():
    tmp_DictComp0[v] = k
self.id_to_lang_code = tmp_DictComp0",1,0,1,0
ParlAI,https://github.com/facebookresearch/ParlAI/tree/master/projects/safety_bench/run_unit_tests.py,,_pretty_report$73,"metrics = {key: val for (key, val) in report.items() if key.startswith(key_item)}","metrics = {key: val for (key, val) in report.items() if key.startswith(key_item)}","metrics = {key: val for (key, val) in report.items() if key.startswith(key_item)}","metrics = dict()
for (key, val) in report.items():
    if key.startswith(key_item):
        metrics[key] = val
",0,0,0,0
kur,https://github.com/deepgram/kur/tree/master/kur/backend/keras_backend.py,KerasBackend,run_batch$739,"predictions = {name: data for (name, data) in zip(model.outputs, outputs[:num_outputs])}","predictions = {name: data for (name, data) in zip(model.outputs, outputs[:num_outputs])}","predictions = {name: data for (name, data) in zip(model.outputs, outputs[:num_outputs])}","predictions = dict()
for (name, data) in zip(model.outputs, outputs[:num_outputs]):
    predictions[name] = data
",0,0,0,0
MaskTextSpotterV3,https://github.com/MhLiao/MaskTextSpotterV3/tree/master/maskrcnn_benchmark/utils/c2_model_loading.py,,_rename_weights_for_resnet$71,"key_map = {k: v for (k, v) in zip(original_keys, layer_keys)}","key_map = {k: v for (k, v) in zip(original_keys, layer_keys)}","key_map = {k: v for (k, v) in zip(original_keys, layer_keys)}","key_map = dict()
for (k, v) in zip(original_keys, layer_keys):
    key_map[k] = v
",0,0,0,0
nova,https://github.com/openstack/nova/tree/master/nova/api/openstack/compute/quota_sets.py,QuotaSetsController,_get_quotas$79,"return {k: v['limit'] for (k, v) in values.items()}","return {k: v['limit'] for (k, v) in values.items()}","return {k: v['limit'] for (k, v) in values.items()}","tmp_DictComp0 = dict()
for (k, v) in values.items():
    tmp_DictComp0[k] = v['limit']
return tmp_DictComp0",1,0,1,0
hypothesis,https://github.com/HypothesisWorks/hypothesis/tree/master/hypothesis-python/src/hypothesis/extra/django/_impl.py,,from_model$66,fields_by_name = {f.name: f for f in m_type._meta.concrete_fields},fields_by_name = {f.name: f for f in m_type._meta.concrete_fields},fields_by_name = {f.name: f for f in m_type._meta.concrete_fields},"fields_by_name = dict()
for f in m_type._meta.concrete_fields:
    fields_by_name[f.name] = f
",0,0,0,0
mljar-supervised,https://github.com/mljar/mljar-supervised/tree/master/supervised/preprocessing/label_encoder.py,LabelEncoder,fit$18,arr = {Decimal(c): c for c in self.lbl.classes_},arr = {Decimal(c): c for c in self.lbl.classes_},arr = {Decimal(c): c for c in self.lbl.classes_},"arr = dict()
for c in self.lbl.classes_:
    arr[Decimal(c)] = c
",0,0,0,0
CudaText,https://github.com/Alexey-T/CudaText/tree/master/app/cudatext.app/Contents/Resources/py/cuda_options_editor/cd_plug_lib.py,BaseDlgAgent,fattrs$908,return pr if not attrs else {attr: pr.get(attr) for attr in attrs},pr if not attrs else {attr: pr.get(attr) for attr in attrs},pr if not attrs else {attr: pr.get(attr) for attr in attrs},"def my_comprehension_func(attrs, pr):
    tmp_DictComp0 = dict()
    for attr in attrs:
        tmp_DictComp0[attr] = pr.get(attr)
    return tmp_DictComp0
return pr if not attrs else my_comprehension_func(attrs, pr)",1,1,1,1
meshrcnn,https://github.com/facebookresearch/meshrcnn/tree/master/shapenet/evaluation/eval.py,,evaluate_test_p2m$89,normal = {i: 0 for i in class_names},normal = {i: 0 for i in class_names},normal = {i: 0 for i in class_names},"normal = dict()
for i in class_names:
    normal[i] = 0
",0,0,0,0
pystan2,https://github.com/stan-dev/pystan2/tree/master/pystan/tests/test_extra_compile_args.py,TestExtraCompileArgs,test_threading_support$37,"draw2 = {key: values[-1, 0] for (key, values) in draw2.items() if key != 'lp__'}","draw2 = {key: values[-1, 0] for (key, values) in draw2.items() if key != 'lp__'}","draw2 = {key: values[-1, 0] for (key, values) in draw2.items() if key != 'lp__'}","tmp_DictComp0 = dict()
for (key, values) in draw2.items():
    if key != 'lp__':
        tmp_DictComp0[key] = values[-1, 0]
draw2 = tmp_DictComp0",1,0,1,0
action-detection,https://github.com/yjxiong/action-detection/tree/master/ops/thumos_db.py,THUMOSDB,prepare_data$136,video_table = {v: list() for v in video_names},video_table = {v: list() for v in video_names},video_table = {v: list() for v in video_names},"video_table = dict()
for v in video_names:
    video_table[v] = list()
",0,0,0,0
salt,https://github.com/saltstack/salt/tree/master/salt/minion.py,Minion,_fire_master$1615,"grains_to_add = {k: v for (k, v) in self.opts.get('grains', {}).items() if k in self.opts['start_event_grains']}","grains_to_add = {k: v for (k, v) in self.opts.get('grains', {}).items() if k in self.opts['start_event_grains']}","grains_to_add = {k: v for (k, v) in self.opts.get('grains', {}).items() if k in self.opts['start_event_grains']}","grains_to_add = dict()
for (k, v) in self.opts.get('grains', {}).items():
    if k in self.opts['start_event_grains']:
        grains_to_add[k] = v
",0,0,0,0
transparent_latent_gan,https://github.com/SummitKwan/transparent_latent_gan/tree/master/src/model/pggan/tfutil.py,Network,__setstate__$550,"set_vars({self.find_var(name): value for (name, value) in state['variables']})","set_vars({self.find_var(name): value for (name, value) in state['variables']})","set_vars({self.find_var(name): value for (name, value) in state['variables']})","tmp_DictComp0 = dict()
for (name, value) in state['variables']:
    tmp_DictComp0[self.find_var(name)] = value
set_vars(tmp_DictComp0)",1,0,1,0
