repo_name,file_html,cl,me,stmt_code,parent_code,code,complicate_code,temporary_flag,create_fun_flag,tempor,func
sunpy,https://github.com/sunpy/sunpy/tree/master/sunpy/net/dataretriever/sources/tests/test_eve.py,,test_levels$100,clients = {type(a.client) for a in qr},clients = {type(a.client) for a in qr},clients = {type(a.client) for a in qr},"clients = set()
for a in qr:
    clients.add(type(a.client))
",0,0,0,0
buildbot,https://github.com/buildbot/buildbot/tree/master/master/buildbot/process/build.py,Build,setupBuild$500,owners.update({r.properties['owner'] for r in self.requests if 'owner' in r.properties}),owners.update({r.properties['owner'] for r in self.requests if 'owner' in r.properties}),owners.update({r.properties['owner'] for r in self.requests if 'owner' in r.properties}),"tmp_SetComp0 = set()
for r in self.requests:
    if 'owner' in r.properties:
        tmp_SetComp0.add(r.properties['owner'])
owners.update(tmp_SetComp0)",1,0,1,0
pandas,https://github.com/pandas-dev/pandas/tree/master/pandas/core/indexes/base.py,Index,append$5022,names = {obj.name for obj in to_concat},names = {obj.name for obj in to_concat},names = {obj.name for obj in to_concat},"names = set()
for obj in to_concat:
    names.add(obj.name)
",0,0,0,0
osxphotos,https://github.com/RhetTbull/osxphotos/tree/master/osxphotos/photosdb/photosdb.py,PhotosDB,photos$2794,photos_sets.append({p for p in self._dbphotos if not self._dbphotos[p]['intrash']}),photos_sets.append({p for p in self._dbphotos if not self._dbphotos[p]['intrash']}),photos_sets.append({p for p in self._dbphotos if not self._dbphotos[p]['intrash']}),"tmp_SetComp0 = set()
for p in self._dbphotos:
    if not self._dbphotos[p]['intrash']:
        tmp_SetComp0.add(p)
photos_sets.append(tmp_SetComp0)",1,0,1,0
tensorpack,https://github.com/tensorpack/tensorpack/tree/master/tensorpack/tfutils/model_utils.py,,describe_trainable_vars$15,dtypes = list({x[4] for x in data}),list({x[4] for x in data}),list({x[4] for x in data}),"tmp_SetComp0 = set()
for x in data:
    tmp_SetComp0.add(x[4])
dtypes = list(tmp_SetComp0)",1,0,1,0
pynguin,https://github.com/se2p/pynguin/tree/master/pynguin/testcase/statement.py,DictStatement,structural_eq$762,"return self._ret_val.structural_eq(other._ret_val, memo) and len(self._elements) == len(other._elements) and all({lk.structural_eq(rk, memo) and lv.structural_eq(rv, memo) for ((lk, lv), (rk, rv)) in zip(self._elements, other._elements)})","all({lk.structural_eq(rk, memo) and lv.structural_eq(rv, memo) for ((lk, lv), (rk, rv)) in zip(self._elements, other._elements)})","all({lk.structural_eq(rk, memo) and lv.structural_eq(rv, memo) for ((lk, lv), (rk, rv)) in zip(self._elements, other._elements)})","def my_comprehension_func(other, memo, self):
    tmp_SetComp0 = []
    for ((lk, lv), (rk, rv)) in zip(self._elements, other._elements):
        tmp_SetComp0.add(lk.structural_eq(rk, memo) and lv.structural_eq(rv, memo))
    return tmp_SetComp0
return self._ret_val.structural_eq(other._ret_val, memo) and len(self._elements) == len(other._elements) and all(my_comprehension_func(other, memo, self))",1,1,1,0
dephell,https://github.com/dephell/dephell/tree/master/tests/test_resolving/test_git_resolving.py,,test_with_rev_two_constraints$119,versions = {str(release.version) for release in releases},versions = {str(release.version) for release in releases},versions = {str(release.version) for release in releases},"versions = set()
for release in releases:
    versions.add(str(release.version))
",0,0,0,0
sqlmodel,https://github.com/tiangolo/sqlmodel/tree/master/sqlmodel/main.py,SQLModel,_calculate_keys$608,"keys -= {k for (k, v) in exclude.items() if _value_items_is_true(v)}","keys -= {k for (k, v) in exclude.items() if _value_items_is_true(v)}","keys -= {k for (k, v) in exclude.items() if _value_items_is_true(v)}","tmp_SetComp0 = set()
for (k, v) in exclude.items():
    if _value_items_is_true(v):
        tmp_SetComp0.add(k)
keys -= tmp_SetComp0",1,0,1,0
tinychain,https://github.com/jamesob/tinychain/tree/master//tinychain.py,,deserialize$1160,"bytes_keys = {k for (k, v) in get_type_hints(_type).items() if v == bytes}","bytes_keys = {k for (k, v) in get_type_hints(_type).items() if v == bytes}","bytes_keys = {k for (k, v) in get_type_hints(_type).items() if v == bytes}","bytes_keys = set()
for (k, v) in get_type_hints(_type).items():
    if v == bytes:
        bytes_keys.add(k)
",0,0,0,0
luigi,https://github.com/spotify/luigi/tree/master/luigi/contrib/bigquery.py,MixinBigQueryBulkComplete,bulk_complete$465,"datasets = {t.output().table.dataset for (t, p) in tasks_with_params}","datasets = {t.output().table.dataset for (t, p) in tasks_with_params}","datasets = {t.output().table.dataset for (t, p) in tasks_with_params}","datasets = set()
for (t, p) in tasks_with_params:
    datasets.add(t.output().table.dataset)
",0,0,0,0
django,https://github.com/django/django/tree/master/django/db/migrations/state.py,StateApps,__init__$540,app_labels = {model_state.app_label for model_state in models.values()},app_labels = {model_state.app_label for model_state in models.values()},app_labels = {model_state.app_label for model_state in models.values()},"app_labels = set()
for model_state in models.values():
    app_labels.add(model_state.app_label)
",0,0,0,0
scispacy,https://github.com/allenai/scispacy/tree/master/scispacy/per_class_scorer.py,PerClassScorer,get_metric$42,"sum_false_negatives = sum({v for (k, v) in self._false_negatives.items() if k != 'untyped'})","sum({v for (k, v) in self._false_negatives.items() if k != 'untyped'})","sum({v for (k, v) in self._false_negatives.items() if k != 'untyped'})","tmp_SetComp0 = set()
for (k, v) in self._false_negatives.items():
    if k != 'untyped':
        tmp_SetComp0.add(v)
sum_false_negatives = sum(tmp_SetComp0)",1,0,1,0
buildbot,https://github.com/buildbot/buildbot/tree/master/master/buildbot/config.py,BuilderConfig,__init__$908,dupes = ' '.join({x for x in tags if tags.count(x) > 1}),' '.join({x for x in tags if tags.count(x) > 1}),' '.join({x for x in tags if tags.count(x) > 1}),"tmp_SetComp0 = set()
for x in tags:
    if tags.count(x) > 1:
        tmp_SetComp0.add(x)
dupes = ' '.join(tmp_SetComp0)",1,0,1,0
azure-cli,https://github.com/Azure/azure-cli/tree/master/src/azure-cli/azure/cli/command_modules/vm/custom.py,,assign_disk_encryption_set_identity$4960,existing_user_identities = {x.lower() for x in list((disk_encryption_set.identity.user_assigned_identities or {}).keys())},existing_user_identities = {x.lower() for x in list((disk_encryption_set.identity.user_assigned_identities or {}).keys())},existing_user_identities = {x.lower() for x in list((disk_encryption_set.identity.user_assigned_identities or {}).keys())},"existing_user_identities = set()
for x in list((disk_encryption_set.identity.user_assigned_identities or {}).keys()):
    existing_user_identities.add(x.lower())
",0,0,0,0
tfx,https://github.com/tensorflow/tfx/tree/master/tfx/experimental/distributed_inference/graphdef_experiments/subgraph_partitioning/graph_partition.py,,_get_non_input_names$405,non_input_names = {node.name for node in subgraph.node if not _is_placeholder_op(node)},non_input_names = {node.name for node in subgraph.node if not _is_placeholder_op(node)},non_input_names = {node.name for node in subgraph.node if not _is_placeholder_op(node)},"non_input_names = set()
for node in subgraph.node:
    if not _is_placeholder_op(node):
        non_input_names.add(node.name)
",0,0,0,0
transformers,https://github.com/huggingface/transformers/tree/master/examples/research_projects/seq2seq-distillation/_test_bash_script.py,TestMbartCc25Enro,test_train_mbart_cc25_enro_script$42,contents = {os.path.basename(p) for p in contents},contents = {os.path.basename(p) for p in contents},contents = {os.path.basename(p) for p in contents},"tmp_SetComp0 = set()
for p in contents:
    tmp_SetComp0.add(os.path.basename(p))
contents = tmp_SetComp0",1,0,1,0
Montreal-Forced-Aligner,https://github.com/MontrealCorpusTools/Montreal-Forced-Aligner/tree/master/montreal_forced_aligner/data.py,PhoneSetType,diphthong_phones$814,"diphthongs |= {x + y for (x, y) in itertools.product(self.vowels, self.glides)}","diphthongs |= {x + y for (x, y) in itertools.product(self.vowels, self.glides)}","diphthongs |= {x + y for (x, y) in itertools.product(self.vowels, self.glides)}","tmp_SetComp0 = set()
for (x, y) in itertools.product(self.vowels, self.glides):
    tmp_SetComp0.add(x + y)
diphthongs |= tmp_SetComp0",1,0,1,0
luigi,https://github.com/spotify/luigi/tree/master/luigi/execution_summary.py,,_partition_tasks$91,"set_tasks['ever_failed'] = {task for (task, status, ext) in task_history if status == 'FAILED'}","set_tasks['ever_failed'] = {task for (task, status, ext) in task_history if status == 'FAILED'}","set_tasks['ever_failed'] = {task for (task, status, ext) in task_history if status == 'FAILED'}","set_tasks['ever_failed'] = set()
for (task, status, ext) in task_history:
    if status == 'FAILED':
        set_tasks['ever_failed'].add(task)
",0,0,0,0
neutron,https://github.com/openstack/neutron/tree/master/neutron/plugins/ml2/drivers/ovn/mech_driver/ovsdb/impl_idl_ovn.py,OvsdbNbOvnIdl,get_unhosted_gateways$539,"available_chassis = {c for c in all_gw_chassis or chassis_with_physnets.keys() if not utils.is_gateway_chassis_invalid(c, all_gw_chassis, physnet, chassis_with_physnets, az_hints, chassis_with_azs)}","available_chassis = {c for c in all_gw_chassis or chassis_with_physnets.keys() if not utils.is_gateway_chassis_invalid(c, all_gw_chassis, physnet, chassis_with_physnets, az_hints, chassis_with_azs)}","available_chassis = {c for c in all_gw_chassis or chassis_with_physnets.keys() if not utils.is_gateway_chassis_invalid(c, all_gw_chassis, physnet, chassis_with_physnets, az_hints, chassis_with_azs)}","available_chassis = set()
for c in all_gw_chassis or chassis_with_physnets.keys():
    if not utils.is_gateway_chassis_invalid(c, all_gw_chassis, physnet, chassis_with_physnets, az_hints, chassis_with_azs):
        available_chassis.add(c)
",0,0,0,0
saleor,https://github.com/saleor/saleor/tree/master/saleor/graphql/giftcard/tests/mutations/test_gift_card_bulk_activate.py,,test_gift_card_bulk_activate_by_app$59,assert {event.type for event in events} == {GiftCardEvents.ACTIVATED},{event.type for event in events} == {GiftCardEvents.ACTIVATED},{event.type for event in events} == {GiftCardEvents.ACTIVATED},"tmp_SetComp0 = set()
for event in events:
    tmp_SetComp0.add(event.type)
assert tmp_SetComp0 == {GiftCardEvents.ACTIVATED}",1,0,1,0
hydrus,https://github.com/hydrusnetwork/hydrus/tree/master/hydrus/server/ServerDB.py,DB,_ModifyServices$1482,"current_service_keys = {service_key for (service_key,) in self._Execute('SELECT service_key FROM services;')}","current_service_keys = {service_key for (service_key,) in self._Execute('SELECT service_key FROM services;')}","current_service_keys = {service_key for (service_key,) in self._Execute('SELECT service_key FROM services;')}","current_service_keys = set()
for (service_key,) in self._Execute('SELECT service_key FROM services;'):
    current_service_keys.add(service_key)
",0,0,0,0
great_expectations,https://github.com/great-expectations/great_expectations/tree/master/tests/test_packaging.py,,test_requirements_files$18,req_set_dict[key] = {f"{line.name}{''.join(line.specs[0])}" for line in rp.parse(f) if line.specs},req_set_dict[key] = {f"{line.name}{''.join(line.specs[0])}" for line in rp.parse(f) if line.specs},req_set_dict[key] = {f"{line.name}{''.join(line.specs[0])}" for line in rp.parse(f) if line.specs},"req_set_dict[key] = set()
for line in rp.parse(f):
    if line.specs:
        req_set_dict[key].add(f""{line.name}{''.join(line.specs[0])}"")
",0,0,0,0
great_expectations,https://github.com/great-expectations/great_expectations/tree/master//versioneer.py,,git_versions_from_keywords$983,tags = {r[len(TAG):] for r in refs if r.startswith(TAG)},tags = {r[len(TAG):] for r in refs if r.startswith(TAG)},tags = {r[len(TAG):] for r in refs if r.startswith(TAG)},"tags = set()
for r in refs:
    if r.startswith(TAG):
        tags.add(r[len(TAG):])
",0,0,0,0
core,https://github.com/home-assistant/core/tree/master/homeassistant/components/zwave_js/helpers.py,,async_get_nodes_from_area_id$161,"nodes.update({async_get_node_from_device_id(hass, entity.device_id, dev_reg) for entity in er.async_entries_for_area(ent_reg, area_id) if entity.platform == DOMAIN and entity.device_id is not None})","nodes.update({async_get_node_from_device_id(hass, entity.device_id, dev_reg) for entity in er.async_entries_for_area(ent_reg, area_id) if entity.platform == DOMAIN and entity.device_id is not None})","nodes.update({async_get_node_from_device_id(hass, entity.device_id, dev_reg) for entity in er.async_entries_for_area(ent_reg, area_id) if entity.platform == DOMAIN and entity.device_id is not None})","tmp_SetComp0 = set()
for entity in er.async_entries_for_area(ent_reg, area_id):
    if entity.platform == DOMAIN and entity.device_id is not None:
        tmp_SetComp0.add(async_get_node_from_device_id(hass, entity.device_id, dev_reg))
nodes.update(tmp_SetComp0)",1,0,1,0
pynguin,https://github.com/se2p/pynguin/tree/master/pynguin/testcase/statement.py,NonDictCollection,structural_eq$564,"return self._ret_val.structural_eq(other._ret_val, memo) and len(self._elements) == len(other._elements) and all({left.structural_eq(right, memo) for (left, right) in zip(self._elements, other._elements)})","all({left.structural_eq(right, memo) for (left, right) in zip(self._elements, other._elements)})","all({left.structural_eq(right, memo) for (left, right) in zip(self._elements, other._elements)})","def my_comprehension_func(other, memo, self):
    tmp_SetComp0 = []
    for (left, right) in zip(self._elements, other._elements):
        tmp_SetComp0.add(left.structural_eq(right, memo))
    return tmp_SetComp0
return self._ret_val.structural_eq(other._ret_val, memo) and len(self._elements) == len(other._elements) and all(my_comprehension_func(other, memo, self))",1,1,1,0
networkx,https://github.com/networkx/networkx/tree/master/networkx/algorithms/assortativity/correlation.py,,degree_assortativity_coefficient$18,"indeg = {d for (_, d) in G.in_degree(nodes, weight=weight)} if 'in' in (x, y) else set()","{d for (_, d) in G.in_degree(nodes, weight=weight)} if 'in' in (x, y) else set()","{d for (_, d) in G.in_degree(nodes, weight=weight)} if 'in' in (x, y) else set()","tmp_SetComp0 = set()
for (_, d) in G.in_degree(nodes, weight=weight):
    tmp_SetComp0.add(d)
indeg = tmp_SetComp0 if 'in' in (x, y) else set()",1,0,1,0
virtualenv,https://github.com/pypa/virtualenv/tree/master/tests/unit/create/test_creator.py,,test_cross_major$345,"pip_scripts = {i.name.replace('.exe', '') for i in result.creator.script_dir.iterdir() if i.name.startswith('pip')}","pip_scripts = {i.name.replace('.exe', '') for i in result.creator.script_dir.iterdir() if i.name.startswith('pip')}","pip_scripts = {i.name.replace('.exe', '') for i in result.creator.script_dir.iterdir() if i.name.startswith('pip')}","pip_scripts = set()
for i in result.creator.script_dir.iterdir():
    if i.name.startswith('pip'):
        pip_scripts.add(i.name.replace('.exe', ''))
",0,0,0,0
core,https://github.com/home-assistant/core/tree/master/homeassistant/components/mysensors/helpers.py,,validate_child$167,child_value_names: set[ValueType] = {member.name for member in set_req if member.value in child.values},child_value_names: set[ValueType] = {member.name for member in set_req if member.value in child.values},child_value_names: set[ValueType] = {member.name for member in set_req if member.value in child.values},"child_value_names = set()
for member in set_req:
    if member.value in child.values:
        child_value_names.add(member.name)
",0,0,0,0
networkx,https://github.com/networkx/networkx/tree/master/networkx/algorithms/tests/test_simple_paths.py,,test_all_simple_paths_with_two_targets_cutoff$102,"assert {tuple(p) for p in paths} == {(0, 1, 2, 3), (0, 1, 2, 4)}","{tuple(p) for p in paths} == {(0, 1, 2, 3), (0, 1, 2, 4)}","{tuple(p) for p in paths} == {(0, 1, 2, 3), (0, 1, 2, 4)}","tmp_SetComp0 = set()
for p in paths:
    tmp_SetComp0.add(tuple(p))
assert tmp_SetComp0 == {(0, 1, 2, 3), (0, 1, 2, 4)}",1,0,1,0
checkmk,https://github.com/tribe29/checkmk/tree/master/cmk/utils/bi/bi_legacy_config_converter.py,BIManagement,_add_missing_aggr_ids$393,used_aggr_ids.update({x['ID'] for x in pack['aggregations'] if 'ID' in x}),used_aggr_ids.update({x['ID'] for x in pack['aggregations'] if 'ID' in x}),used_aggr_ids.update({x['ID'] for x in pack['aggregations'] if 'ID' in x}),"tmp_SetComp0 = set()
for x in pack['aggregations']:
    if 'ID' in x:
        tmp_SetComp0.add(x['ID'])
used_aggr_ids.update(tmp_SetComp0)",1,0,1,0
svtplay-dl,https://github.com/spaam/svtplay-dl/tree/master/lib/svtplay_dl/__version__.py,,git_versions_from_keywords$153,"tags = {r for r in refs if re.search('\\d', r)}","tags = {r for r in refs if re.search('\\d', r)}","tags = {r for r in refs if re.search('\\d', r)}","tags = set()
for r in refs:
    if re.search('\\d', r):
        tags.add(r)
",0,0,0,0
retopoflow,https://github.com/CGCookie/retopoflow/tree/master/addon_common/common/xmesh.py,XMesh,visible_edges$314,"return {self._wrap_bmedge(bme) for bme in self._visible_edges(is_visible, bmvs=bmvs)}","return {self._wrap_bmedge(bme) for bme in self._visible_edges(is_visible, bmvs=bmvs)}","return {self._wrap_bmedge(bme) for bme in self._visible_edges(is_visible, bmvs=bmvs)}","tmp_SetComp0 = set()
for bme in self._visible_edges(is_visible, bmvs=bmvs):
    tmp_SetComp0.add(self._wrap_bmedge(bme))
return tmp_SetComp0",1,0,1,0
yt-dlp,https://github.com/yt-dlp/yt-dlp/tree/master/yt_dlp/YoutubeDL.py,YoutubeDL,print_debug_header$3387,"ffmpeg_features = {key for (key, val) in ffmpeg_features.items() if val}","ffmpeg_features = {key for (key, val) in ffmpeg_features.items() if val}","ffmpeg_features = {key for (key, val) in ffmpeg_features.items() if val}","tmp_SetComp0 = set()
for (key, val) in ffmpeg_features.items():
    if val:
        tmp_SetComp0.add(key)
ffmpeg_features = tmp_SetComp0",1,0,1,0
numpy,https://github.com/numpy/numpy/tree/master/numpy/_version.py,,git_versions_from_keywords$169,tags = {r[len(TAG):] for r in refs if r.startswith(TAG)},tags = {r[len(TAG):] for r in refs if r.startswith(TAG)},tags = {r[len(TAG):] for r in refs if r.startswith(TAG)},"tags = set()
for r in refs:
    if r.startswith(TAG):
        tags.add(r[len(TAG):])
",0,0,0,0
nevergrad,https://github.com/facebookresearch/nevergrad/tree/master/nevergrad/benchmark/test_core.py,,test_moduler_split$110,indices = {k for k in data if moduler(k)},indices = {k for k in data if moduler(k)},indices = {k for k in data if moduler(k)},"indices = set()
for k in data:
    if moduler(k):
        indices.add(k)
",0,0,0,0
mdetr,https://github.com/ashkamath/mdetr/tree/master/scripts/clevr/refclevr_to_coco.py,,parse_prog$490,set2 = {o.id for o in id_to_output[fn['inputs'][1]].objects},set2 = {o.id for o in id_to_output[fn['inputs'][1]].objects},set2 = {o.id for o in id_to_output[fn['inputs'][1]].objects},"set2 = set()
for o in id_to_output[fn['inputs'][1]].objects:
    set2.add(o.id)
",0,0,0,0
trustme,https://github.com/python-trio/trustme/tree/master/tests/test_trustme.py,,test_issue_cert_custom_names$136,"assert {'O=python-trio', 'OU=trustme'}.issubset({rdn.rfc4514_string() for rdn in cert.subject.rdns})","{'O=python-trio', 'OU=trustme'}.issubset({rdn.rfc4514_string() for rdn in cert.subject.rdns})","{'O=python-trio', 'OU=trustme'}.issubset({rdn.rfc4514_string() for rdn in cert.subject.rdns})","tmp_SetComp0 = set()
for rdn in cert.subject.rdns:
    tmp_SetComp0.add(rdn.rfc4514_string())
assert {'O=python-trio', 'OU=trustme'}.issubset(tmp_SetComp0)",1,0,1,0
sparseml,https://github.com/neuralmagic/sparseml/tree/master/src/sparseml/onnx/sparsification/analyzer.py,,_validate_onnx_model_analyzer$246,initializer_names = {init.name for init in model.graph.initializer},initializer_names = {init.name for init in model.graph.initializer},initializer_names = {init.name for init in model.graph.initializer},"initializer_names = set()
for init in model.graph.initializer:
    initializer_names.add(init.name)
",0,0,0,0
MinkowskiEngine,https://github.com/NVIDIA/MinkowskiEngine/tree/master/tests/python/tensor_field.py,TestTensorField,test_maxpool$71,"self.assertTrue({1, 3, 6, 7} == {a for a in stensor.F.squeeze().detach().numpy()})","{1, 3, 6, 7} == {a for a in stensor.F.squeeze().detach().numpy()}","{1, 3, 6, 7} == {a for a in stensor.F.squeeze().detach().numpy()}","tmp_SetComp0 = set()
for a in stensor.F.squeeze().detach().numpy():
    tmp_SetComp0.add(a)
self.assertTrue({1, 3, 6, 7} == tmp_SetComp0)",1,0,1,0
core,https://github.com/home-assistant/core/tree/master/homeassistant/helpers/device_registry.py,,async_cleanup$785,references_entities = {entry.device_id for entry in ent_reg.entities.values()},references_entities = {entry.device_id for entry in ent_reg.entities.values()},references_entities = {entry.device_id for entry in ent_reg.entities.values()},"references_entities = set()
for entry in ent_reg.entities.values():
    references_entities.add(entry.device_id)
",0,0,0,0
mars,https://github.com/mars-project/mars/tree/master/mars/dataframe/arithmetic/tests/test_arithmetic.py,,test_with_one_shuffle$701,lps = {c.inputs[0].inputs[0].op.key for c in cs},lps = {c.inputs[0].inputs[0].op.key for c in cs},lps = {c.inputs[0].inputs[0].op.key for c in cs},"lps = set()
for c in cs:
    lps.add(c.inputs[0].inputs[0].op.key)
",0,0,0,0
hydrus,https://github.com/hydrusnetwork/hydrus/tree/master/hydrus/client/db/ClientDBTagSiblings.py,ClientDBTagSiblings,GetTagSiblingsForTags$555,existing_tags = {tag for tag in tags if self.modules_tags.TagExists(tag)},existing_tags = {tag for tag in tags if self.modules_tags.TagExists(tag)},existing_tags = {tag for tag in tags if self.modules_tags.TagExists(tag)},"existing_tags = set()
for tag in tags:
    if self.modules_tags.TagExists(tag):
        existing_tags.add(tag)
",0,0,0,0
aredis,https://github.com/NoneGG/aredis/tree/master/aredis/client.py,StrictRedisCluster,__repr__$289,"servers = list({'{0}:{1}'.format(info['host'], info['port']) for info in self.connection_pool.nodes.startup_nodes})","list({'{0}:{1}'.format(info['host'], info['port']) for info in self.connection_pool.nodes.startup_nodes})","list({'{0}:{1}'.format(info['host'], info['port']) for info in self.connection_pool.nodes.startup_nodes})","tmp_SetComp0 = set()
for info in self.connection_pool.nodes.startup_nodes:
    tmp_SetComp0.add('{0}:{1}'.format(info['host'], info['port']))
servers = list(tmp_SetComp0)",1,0,1,0
hypothesis,https://github.com/HypothesisWorks/hypothesis/tree/master/hypothesis-python/tests/cover/test_sampled_from.py,,test_efficient_lists_of_tuples_first_element_sampled_from$102,"assert {first for (first, *_) in x} == set(range(20))","{first for (first, *_) in x} == set(range(20))","{first for (first, *_) in x} == set(range(20))","tmp_SetComp0 = set()
for (first, *_) in x:
    tmp_SetComp0.add(first)
assert tmp_SetComp0 == set(range(20))",1,0,1,0
frappe,https://github.com/frappe/frappe/tree/master/frappe/email/doctype/newsletter/test_newsletter.py,TestNewsletter,test_send$136,recipients = {e.recipients[0].recipient for e in email_queue_list},recipients = {e.recipients[0].recipient for e in email_queue_list},recipients = {e.recipients[0].recipient for e in email_queue_list},"recipients = set()
for e in email_queue_list:
    recipients.add(e.recipients[0].recipient)
",0,0,0,0
stellargraph,https://github.com/stellargraph/stellargraph/tree/master/stellargraph/data/edge_splitter.py,EdgeSplitter,_sample_negative_examples_local_dfs$800,"edges_set.update({(e[1], e[0]) for e in edges})","edges_set.update({(e[1], e[0]) for e in edges})","edges_set.update({(e[1], e[0]) for e in edges})","tmp_SetComp0 = set()
for e in edges:
    tmp_SetComp0.add((e[1], e[0]))
edges_set.update(tmp_SetComp0)",1,0,1,0
Raccoon,https://github.com/evyatarmeged/Raccoon/tree/master/raccoon_src/lib/storage_explorer.py,StorageExplorer,_get_image_sources_from_html$134,return {img.get('src') for img in images if img.get('src')},return {img.get('src') for img in images if img.get('src')},return {img.get('src') for img in images if img.get('src')},"tmp_SetComp0 = set()
for img in images:
    if img.get('src'):
        tmp_SetComp0.add(img.get('src'))
return tmp_SetComp0",1,0,1,0
networkx,https://github.com/networkx/networkx/tree/master/networkx/algorithms/community/tests/test_asyn_fluid.py,,test_two_clique_communities$42,result = {frozenset(c) for c in communities},result = {frozenset(c) for c in communities},result = {frozenset(c) for c in communities},"result = set()
for c in communities:
    result.add(frozenset(c))
",0,0,0,0
mesh,https://github.com/tensorflow/mesh/tree/master/mesh_tensorflow/transformer/utils.py,,my_model_fn$586,"ckpt_vars = {v for (v, _) in tf.train.list_variables(init_checkpoint)}","ckpt_vars = {v for (v, _) in tf.train.list_variables(init_checkpoint)}","ckpt_vars = {v for (v, _) in tf.train.list_variables(init_checkpoint)}","ckpt_vars = set()
for (v, _) in tf.train.list_variables(init_checkpoint):
    ckpt_vars.add(v)
",0,0,0,0
server-tools,https://github.com/OCA/server-tools/tree/master/module_auto_update/addon_hash.py,,_walk$16,keep_langs = {language.split('_')[0] for language in keep_langs},keep_langs = {language.split('_')[0] for language in keep_langs},keep_langs = {language.split('_')[0] for language in keep_langs},"tmp_SetComp0 = set()
for language in keep_langs:
    tmp_SetComp0.add(language.split('_')[0])
keep_langs = tmp_SetComp0",1,0,1,0
R-Drop,https://github.com/dropreg/R-Drop/tree/master/fairseq_src/fairseq/data/token_block_dataset.py,TokenBlockDataset,prefetch$160,"self.dataset.prefetch({ds_idx for index in indices for (start_ds_idx, _, end_ds_idx) in [self.block_to_dataset_index[index]] for ds_idx in range(start_ds_idx, end_ds_idx + 1)})","self.dataset.prefetch({ds_idx for index in indices for (start_ds_idx, _, end_ds_idx) in [self.block_to_dataset_index[index]] for ds_idx in range(start_ds_idx, end_ds_idx + 1)})","self.dataset.prefetch({ds_idx for index in indices for (start_ds_idx, _, end_ds_idx) in [self.block_to_dataset_index[index]] for ds_idx in range(start_ds_idx, end_ds_idx + 1)})","def my_comprehension_func(self):
    tmp_SetComp0 = []
    for index in indices:
        for (start_ds_idx, _, end_ds_idx) in [self.block_to_dataset_index[index]]:
            for ds_idx in range(start_ds_idx, end_ds_idx + 1):
                tmp_SetComp0.add(ds_idx)
    return tmp_SetComp0
self.dataset.prefetch(my_comprehension_func(self))",1,1,1,0
saleor,https://github.com/saleor/saleor/tree/master/saleor/graphql/product/tests/test_attributes.py,,test_assign_attributes_to_product_type$302,product_attributes_ids = {attr.pk for attr in product_type_attribute_list[:2]},product_attributes_ids = {attr.pk for attr in product_type_attribute_list[:2]},product_attributes_ids = {attr.pk for attr in product_type_attribute_list[:2]},"product_attributes_ids = set()
for attr in product_type_attribute_list[:2]:
    product_attributes_ids.add(attr.pk)
",0,0,0,0
chainer,https://github.com/chainer/chainer/tree/master/tests/chainer_tests/serializers_tests/test_npz.py,TestGroupHierachy,_check_chain_group$613,"self.assertSetEqual(set(npzfile.keys()), {prefix + x for x in keys})","self.assertSetEqual(set(npzfile.keys()), {prefix + x for x in keys})","self.assertSetEqual(set(npzfile.keys()), {prefix + x for x in keys})","tmp_SetComp0 = set()
for x in keys:
    tmp_SetComp0.add(prefix + x)
self.assertSetEqual(set(npzfile.keys()), tmp_SetComp0)",1,0,1,0
kedro,https://github.com/quantumblacklabs/kedro/tree/master/kedro/runner/parallel_runner.py,ParallelRunner,_run$262,ready = {n for n in todo_nodes if node_dependencies[n] <= done_nodes},ready = {n for n in todo_nodes if node_dependencies[n] <= done_nodes},ready = {n for n in todo_nodes if node_dependencies[n] <= done_nodes},"ready = set()
for n in todo_nodes:
    if node_dependencies[n] <= done_nodes:
        ready.add(n)
",0,0,0,0
habu,https://github.com/fportantier/habu/tree/master/habu/cli/cmd_cert_names.py,,cmd_cert_names$48,hosts |= {host for host in network.hosts()},hosts |= {host for host in network.hosts()},hosts |= {host for host in network.hosts()},"tmp_SetComp0 = set()
for host in network.hosts():
    tmp_SetComp0.add(host)
hosts |= tmp_SetComp0",1,0,1,0
allennlp,https://github.com/allenai/allennlp/tree/master/tests/commands/print_results_test.py,TestPrintResults,test_print_results$37,"results = {tuple(line.split(', ')) for line in lines[1:]}","results = {tuple(line.split(', ')) for line in lines[1:]}","results = {tuple(line.split(', ')) for line in lines[1:]}","results = set()
for line in lines[1:]:
    results.add(tuple(line.split(', ')))
",0,0,0,0
zato,https://github.com/zatosource/zato/tree/master/code/zato-web-admin/src/zato/admin/web/views/channel/file_transfer.py,_CreateEdit,pre_process_item$102,value = sorted({elem for elem in value if elem}),sorted({elem for elem in value if elem}),sorted({elem for elem in value if elem}),"tmp_SetComp0 = set()
for elem in value:
    if elem:
        tmp_SetComp0.add(elem)
value = sorted(tmp_SetComp0)",1,0,1,0
