repo_name,file_html,cl,me,complicate_code,simple_code
datadogpy,https://github.com/DataDog/datadogpy/tree/master/tests/util/system_info_observer.py,SysInfoObserver,stats$79,"for (key, val) in agg_stats.items():
    if not key.startswith('cpu'):
        agg_stats[key] = val / datapoints","for e_target in agg_stats.items():
    val = e_target[1]
    key = e_target[0]
    if not key.startswith('cpu'):
        agg_stats[key] = val / datapoints"
scipy,https://github.com/scipy/scipy/tree/master/scipy/linalg/tests/test_procrustes.py,,test_orthogonal_procrustes_array_conversion$62,"for (m, n) in ((6, 4), (4, 4), (4, 6)):
    A_arr = np.random.randn(m, n)
    B_arr = np.random.randn(m, n)
    As = (A_arr, A_arr.tolist(), matrix(A_arr))
    Bs = (B_arr, B_arr.tolist(), matrix(B_arr))
    (R_arr, s) = orthogonal_procrustes(A_arr, B_arr)
    AR_arr = A_arr.dot(R_arr)
    for (A, B) in product(As, Bs):
        (R, s) = orthogonal_procrustes(A, B)
        AR = A_arr.dot(R)
        assert_allclose(AR, AR_arr)","for e_target in ((6, 4), (4, 4), (4, 6)):
    n = e_target[1]
    m = e_target[0]
    A_arr = np.random.randn(m, n)
    B_arr = np.random.randn(m, n)
    As = (A_arr, A_arr.tolist(), matrix(A_arr))
    Bs = (B_arr, B_arr.tolist(), matrix(B_arr))
    (R_arr, s) = orthogonal_procrustes(A_arr, B_arr)
    AR_arr = A_arr.dot(R_arr)
    for (A, B) in product(As, Bs):
        (R, s) = orthogonal_procrustes(A, B)
        AR = A_arr.dot(R)
        assert_allclose(AR, AR_arr)"
migen,https://github.com/m-labs/migen/tree/master/migen/fhdl/decorators.py,ClockDomainsRenamer,transform_fragment$108,"for (old, new) in self.cd_remapping.items():
    rename_clock_domain(f, old, new)","for e_target in self.cd_remapping.items():
    new = e_target[1]
    old = e_target[0]
    rename_clock_domain(f, old, new)"
pyro,https://github.com/pyro-ppl/pyro/tree/master/pyro/infer/inspect.py,,get_dependencies$54,"for (i, downstream) in enumerate(sample_sites):
    upstreams = [u for u in sample_sites[:i] if not u['is_observed'] if u['value'].numel()]
    if not upstreams:
        continue
    log_prob = downstream['fn'].log_prob(downstream['value'])
    provenance = get_provenance(log_prob)
    for upstream in upstreams:
        u = upstream['name']
        if u in provenance:
            d = downstream['name']
            prior_dependencies[d][u] = set()","for e_target in enumerate(sample_sites):
    downstream = e_target[1]
    i = e_target[0]
    upstreams = [u for u in sample_sites[:i] if not u['is_observed'] if u['value'].numel()]
    if not upstreams:
        continue
    log_prob = downstream['fn'].log_prob(downstream['value'])
    provenance = get_provenance(log_prob)
    for upstream in upstreams:
        u = upstream['name']
        if u in provenance:
            d = downstream['name']
            prior_dependencies[d][u] = set()"
TextAttack,https://github.com/QData/TextAttack/tree/master/textattack/trainer.py,Trainer,get_eval_dataloader$418,"for (_input, label) in data:
    if isinstance(_input, collections.OrderedDict):
        _input = tuple(_input.values())
    else:
        _input = tuple(_input)
    if len(_input) == 1:
        _input = _input[0]
    input_texts.append(_input)
    targets.append(label)","for e_target in data:
    label = e_target[1]
    _input = e_target[0]
    if isinstance(_input, collections.OrderedDict):
        _input = tuple(_input.values())
    else:
        _input = tuple(_input)
    if len(_input) == 1:
        _input = _input[0]
    input_texts.append(_input)
    targets.append(label)"
backtrader,https://github.com/mementum/backtrader/tree/master/backtrader/metabase.py,MetaParams,donew$243,"for (p, frompackage) in cls.frompackages:
    if isinstance(frompackage, string_types):
        frompackage = (frompackage,)
    for fp in frompackage:
        if isinstance(fp, (tuple, list)):
            (fp, falias) = fp
        else:
            (fp, falias) = (fp, fp)
        pmod = __import__(p, fromlist=[str(fp)])
        pattr = getattr(pmod, fp)
        setattr(clsmod, falias, pattr)
        for basecls in cls.__bases__:
            setattr(sys.modules[basecls.__module__], falias, pattr)","for e_target in cls.frompackages:
    frompackage = e_target[1]
    p = e_target[0]
    if isinstance(frompackage, string_types):
        frompackage = (frompackage,)
    for fp in frompackage:
        if isinstance(fp, (tuple, list)):
            (fp, falias) = fp
        else:
            (fp, falias) = (fp, fp)
        pmod = __import__(p, fromlist=[str(fp)])
        pattr = getattr(pmod, fp)
        setattr(clsmod, falias, pattr)
        for basecls in cls.__bases__:
            setattr(sys.modules[basecls.__module__], falias, pattr)"
maia-chess,https://github.com/CSSLab/maia-chess/tree/master/blunder_prediction/maia_chess_backend/maia/lc0_az_policy_map.py,,if_main_my$116,"for (e, i) in enumerate(az_to_lc0):
    if e % line_length == 0 and e > 0:
        f.write('\n')
    f.write(str(i).rjust(5))
    if e != len(az_to_lc0) - 1:
        f.write(',')","for e_target in enumerate(az_to_lc0):
    i = e_target[1]
    e = e_target[0]
    if e % line_length == 0 and e > 0:
        f.write('\n')
    f.write(str(i).rjust(5))
    if e != len(az_to_lc0) - 1:
        f.write(',')"
rdflib,https://github.com/RDFLib/rdflib/tree/master/rdflib/tools/csv2rdf.py,CSV2RDF,convert$325,"for (i, x) in enumerate(l_):
    x = x.strip()
    if x != '':
        if self.COLUMNS.get(i, self.DEFAULT) == 'ignore':
            continue
        try:
            o = self.COLUMNS.get(i, rdflib.Literal)(x)
            if isinstance(o, list):
                for _o in o:
                    self.triple(uri, headers[i], _o)
            else:
                self.triple(uri, headers[i], o)
        except Exception as e:
            warnings.warn('Could not process value for column ' + '%d:%s in row %d, ignoring: %s ' % (i, headers[i], rows, e.message))","for e_target in enumerate(l_):
    x = e_target[1]
    i = e_target[0]
    x = x.strip()
    if x != '':
        if self.COLUMNS.get(i, self.DEFAULT) == 'ignore':
            continue
        try:
            o = self.COLUMNS.get(i, rdflib.Literal)(x)
            if isinstance(o, list):
                for _o in o:
                    self.triple(uri, headers[i], _o)
            else:
                self.triple(uri, headers[i], o)
        except Exception as e:
            warnings.warn('Could not process value for column ' + '%d:%s in row %d, ignoring: %s ' % (i, headers[i], rows, e.message))"
lbry-sdk,https://github.com/lbryio/lbry-sdk/tree/master/lbry/extras/daemon/daemon.py,Daemon,jsonrpc_account_set$1719,"for (chain_name, changes) in address_changes.items():
    chain = getattr(account, chain_name)
    for (attr, value) in changes.items():
        if value is not None:
            setattr(chain, attr, value)
            change_made = True","for e_target in address_changes.items():
    changes = e_target[1]
    chain_name = e_target[0]
    chain = getattr(account, chain_name)
    for (attr, value) in changes.items():
        if value is not None:
            setattr(chain, attr, value)
            change_made = True"
yt-dlc,https://github.com/blackjack4494/yt-dlc/tree/master/youtube_dlc/extractor/plays.py,PlaysTVIE,_real_extract$26,"for (format_id, height, format_url) in re.findall('<source\\s+res=""((\\d+)h?)""\\s+src=""([^""]+)""', sources):
    formats.append({'url': self._proto_relative_url(format_url), 'format_id': 'http-' + format_id, 'height': int_or_none(height)})","for e_target in re.findall('<source\\s+res=""((\\d+)h?)""\\s+src=""([^""]+)""', sources):
    format_url = e_target[2]
    height = e_target[1]
    format_id = e_target[0]
    formats.append({'url': self._proto_relative_url(format_url), 'format_id': 'http-' + format_id, 'height': int_or_none(height)})"
drf-nested-routers,https://github.com/alanjds/drf-nested-routers/tree/master/rest_framework_nested/viewsets.py,NestedViewSetMixin,get_queryset$42,"for (query_param, field_name) in parent_lookup_kwargs.items():
    orm_filters[field_name] = self.kwargs[query_param]","for e_target in parent_lookup_kwargs.items():
    field_name = e_target[1]
    query_param = e_target[0]
    orm_filters[field_name] = self.kwargs[query_param]"
DeepPavlov,https://github.com/deepmipt/DeepPavlov/tree/master/deeppavlov/models/kbqa/utils.py,,fill_query$80,"for (n, entity_type) in enumerate(type_comb[:-1]):
    query = query.replace(f't{n + 1}', entity_type)","for e_target in enumerate(type_comb[:-1]):
    entity_type = e_target[1]
    n = e_target[0]
    query = query.replace(f't{n + 1}', entity_type)"
gmplot,https://github.com/gmplot/gmplot/tree/master/gmplot/google_map_plotter.py,GoogleMapPlotter,scatter$401,"for (i, location) in enumerate(zip(lats, lngs)):
    point_options = {option: value[i] for (option, value) in options.items()}
    if point_options.get('marker'):
        self._markers.append(_Marker(location[0], location[1], point_options.get('face_color'), point_options.get('precision'), title=point_options.get('title'), label=point_options.get('label'), info_window=point_options.get('info_window'), draggable=point_options.get('draggable')))
    else:
        self._drawables.append(_Symbol(location[0], location[1], point_options.get('symbol'), point_options.get('size'), point_options.get('precision'), edge_color=point_options.get('edge_color'), edge_alpha=point_options.get('edge_alpha'), edge_width=point_options.get('edge_width'), face_color=point_options.get('face_color'), face_alpha=point_options.get('face_alpha')))","for e_target in enumerate(zip(lats, lngs)):
    location = e_target[1]
    i = e_target[0]
    point_options = {option: value[i] for (option, value) in options.items()}
    if point_options.get('marker'):
        self._markers.append(_Marker(location[0], location[1], point_options.get('face_color'), point_options.get('precision'), title=point_options.get('title'), label=point_options.get('label'), info_window=point_options.get('info_window'), draggable=point_options.get('draggable')))
    else:
        self._drawables.append(_Symbol(location[0], location[1], point_options.get('symbol'), point_options.get('size'), point_options.get('precision'), edge_color=point_options.get('edge_color'), edge_alpha=point_options.get('edge_alpha'), edge_width=point_options.get('edge_width'), face_color=point_options.get('face_color'), face_alpha=point_options.get('face_alpha')))"
scanpy,https://github.com/theislab/scanpy/tree/master/scanpy/plotting/_tools/paga.py,,paga_path$981,"for (igroup, group) in enumerate(nodes_ints):
    idcs = np.arange(adata.n_obs)[adata.obs[groups_key].values == nodes_strs[igroup]]
    if len(idcs) == 0:
        raise ValueError(f'Did not find data points that match `adata.obs[{groups_key!r}].values == {str(group)!r}`. Check whether `adata.obs[{groups_key!r}]` actually contains what you expect.')
    idcs_group = np.argsort(adata.obs['dpt_pseudotime'].values[adata.obs[groups_key].values == nodes_strs[igroup]])
    idcs = idcs[idcs_group]
    values = (adata.obs[key].values if key in adata.obs_keys() else adata_X[:, key].X)[idcs]
    x += (values.A if issparse(values) else values).tolist()
    if ikey == 0:
        groups += [group] * len(idcs)
        x_tick_locs.append(len(x))
        for anno in annotations:
            series = adata.obs[anno]
            if is_categorical_dtype(series):
                series = series.cat.codes
            anno_dict[anno] += list(series.values[idcs])","for e_target in enumerate(nodes_ints):
    group = e_target[1]
    igroup = e_target[0]
    idcs = np.arange(adata.n_obs)[adata.obs[groups_key].values == nodes_strs[igroup]]
    if len(idcs) == 0:
        raise ValueError(f'Did not find data points that match `adata.obs[{groups_key!r}].values == {str(group)!r}`. Check whether `adata.obs[{groups_key!r}]` actually contains what you expect.')
    idcs_group = np.argsort(adata.obs['dpt_pseudotime'].values[adata.obs[groups_key].values == nodes_strs[igroup]])
    idcs = idcs[idcs_group]
    values = (adata.obs[key].values if key in adata.obs_keys() else adata_X[:, key].X)[idcs]
    x += (values.A if issparse(values) else values).tolist()
    if ikey == 0:
        groups += [group] * len(idcs)
        x_tick_locs.append(len(x))
        for anno in annotations:
            series = adata.obs[anno]
            if is_categorical_dtype(series):
                series = series.cat.codes
            anno_dict[anno] += list(series.values[idcs])"
pyro,https://github.com/pyro-ppl/pyro/tree/master/pyro/util.py,,_are_independent$467,"for (name, counter1) in counters1.items():
    if name in counters2:
        if counters2[name] != counter1:
            return True","for e_target in counters1.items():
    counter1 = e_target[1]
    name = e_target[0]
    if name in counters2:
        if counters2[name] != counter1:
            return True"
borb,https://github.com/jorisschellekens/borb/tree/master/borb/io/write/page/pages_transformer.py,PagesTransformer,transform$31,"for (i, k) in enumerate(queue):
    object_to_transform['Kids'][i] = k","for e_target in enumerate(queue):
    k = e_target[1]
    i = e_target[0]
    object_to_transform['Kids'][i] = k"
hydrus,https://github.com/hydrusnetwork/hydrus/tree/master/hydrus/client/gui/ClientGUIDialogsManage.py,_NumericalPanel,SetRatingClipboardPairs$432,"for (service_key, rating) in rating_clipboard_pairs:
    if service_key in self._service_keys_to_controls:
        control = self._service_keys_to_controls[service_key]
        if rating is None:
            control.SetRatingState(ClientRatings.NULL)
        elif isinstance(rating, (int, float)) and 0 <= rating <= 1:
            control.SetRating(rating)","for e_target in rating_clipboard_pairs:
    rating = e_target[1]
    service_key = e_target[0]
    if service_key in self._service_keys_to_controls:
        control = self._service_keys_to_controls[service_key]
        if rating is None:
            control.SetRatingState(ClientRatings.NULL)
        elif isinstance(rating, (int, float)) and 0 <= rating <= 1:
            control.SetRating(rating)"
galaxy,https://github.com/ansible/galaxy/tree/master/lib/galaxy/datatypes/data.py,Data,get_display_applications_by_dataset$618,"for (key, value) in self.display_applications.items():
    value = value.filter_by_dataset(dataset, trans)
    if value.links:
        rval[key] = value","for e_target in self.display_applications.items():
    value = e_target[1]
    key = e_target[0]
    value = value.filter_by_dataset(dataset, trans)
    if value.links:
        rval[key] = value"
ludwig,https://github.com/ludwig-ai/ludwig/tree/master/tests/integration_tests/test_visualization.py,,test_visualization_cconfidence_thresholding_output_saved$939,"for (command, viz_pattern) in zip(commands, vis_patterns):
    result = subprocess.run(command)
    figure_cnt = glob.glob(viz_pattern)
    assert 0 == result.returncode
    assert 1 == len(figure_cnt)","for e_target in zip(commands, vis_patterns):
    viz_pattern = e_target[1]
    command = e_target[0]
    result = subprocess.run(command)
    figure_cnt = glob.glob(viz_pattern)
    assert 0 == result.returncode
    assert 1 == len(figure_cnt)"
FoxDot,https://github.com/Qirky/FoxDot/tree/master/FoxDot/lib/Patterns/Main.py,PGroup,ne$1218,"for (i, item) in enumerate(self.data):
    item = item != modi(other, i)
    if not isinstance(item, metaPattern):
        item = int(item)
    values.append(item)","for e_target in enumerate(self.data):
    item = e_target[1]
    i = e_target[0]
    item = item != modi(other, i)
    if not isinstance(item, metaPattern):
        item = int(item)
    values.append(item)"
sktime,https://github.com/alan-turing-institute/sktime/tree/master/sktime/forecasting/compose/_pipeline.py,ForecastingPipeline,_fit$185,"for (step_idx, name, transformer) in self._iter_transformers():
    t = clone(transformer)
    X = t.fit_transform(X=X, y=y)
    self.steps_[step_idx] = (name, t)","for e_target in self._iter_transformers():
    transformer = e_target[2]
    name = e_target[1]
    step_idx = e_target[0]
    t = clone(transformer)
    X = t.fit_transform(X=X, y=y)
    self.steps_[step_idx] = (name, t)"
tensorforce,https://github.com/tensorforce/tensorforce/tree/master/tensorforce/core/models/model.py,Model,fn_terminal$716,"for (name, previous, initial) in self.previous_internals.zip_items(initials):
    updates = tf.expand_dims(input=initial, axis=0)
    value = tf.tensor_scatter_nd_update(tensor=previous, indices=expanded_parallel, updates=updates)
    operations.append(previous.assign(value=value))","for e_target in self.previous_internals.zip_items(initials):
    initial = e_target[2]
    previous = e_target[1]
    name = e_target[0]
    updates = tf.expand_dims(input=initial, axis=0)
    value = tf.tensor_scatter_nd_update(tensor=previous, indices=expanded_parallel, updates=updates)
    operations.append(previous.assign(value=value))"
hamster,https://github.com/projecthamster/hamster/tree/master/src/hamster/storage/db.py,Storage,execute$922,"for (state, param) in zip(statement, params):
    logger.debug('%s %s' % (state, param))
    cur.execute(state, param)","for e_target in zip(statement, params):
    param = e_target[1]
    state = e_target[0]
    logger.debug('%s %s' % (state, param))
    cur.execute(state, param)"
d2go,https://github.com/facebookresearch/d2go/tree/master/projects_oss/detr/detr/d2/detr.py,ResNetMaskedBackbone,forward$46,"for (i, k) in enumerate(features.keys()):
    features[k] = NestedTensor(features[k], masks[i])","for e_target in enumerate(features.keys()):
    k = e_target[1]
    i = e_target[0]
    features[k] = NestedTensor(features[k], masks[i])"
scanpy,https://github.com/theislab/scanpy/tree/master/scanpy/tools/_marker_gene_overlap.py,,_calc_jaccard$52,"for (j, marker_group) in enumerate(markers1):
    tmp = [len(markers2[i].intersection(markers1[marker_group])) / len(markers2[i].union(markers1[marker_group])) for i in markers2.keys()]
    jacc_results[j, :] = tmp","for e_target in enumerate(markers1):
    marker_group = e_target[1]
    j = e_target[0]
    tmp = [len(markers2[i].intersection(markers1[marker_group])) / len(markers2[i].union(markers1[marker_group])) for i in markers2.keys()]
    jacc_results[j, :] = tmp"
armory,https://github.com/armory3d/armory/tree/master/blender/arm/logicnode/arm_nodes.py,ArmNodeAddInputOutputButton,execute$351,"for (socket_type, name_format) in zip(in_socket_types, in_name_formats):
    inps.new(socket_type, name_format.format(str(in_format_index)))","for e_target in zip(in_socket_types, in_name_formats):
    name_format = e_target[1]
    socket_type = e_target[0]
    inps.new(socket_type, name_format.format(str(in_format_index)))"
mars,https://github.com/mars-project/mars/tree/master/mars/dataframe/groupby/sample.py,GroupBySampleILoc,tile$181,"for (group_chunk, seed) in zip(grouped.chunks, seeds):
    new_op = op.copy().reset_key()
    new_op.stage = OperandStage.reduce
    new_op._weights = None
    new_op._random_state = None
    new_op._seed = seed
    result_chunks.append(new_op.new_chunk([group_chunk], shape=(np.nan,), index=(group_chunk.index[0],), dtype=out_tensor.dtype))","for e_target in zip(grouped.chunks, seeds):
    seed = e_target[1]
    group_chunk = e_target[0]
    new_op = op.copy().reset_key()
    new_op.stage = OperandStage.reduce
    new_op._weights = None
    new_op._random_state = None
    new_op._seed = seed
    result_chunks.append(new_op.new_chunk([group_chunk], shape=(np.nan,), index=(group_chunk.index[0],), dtype=out_tensor.dtype))"
checkmk,https://github.com/tribe29/checkmk/tree/master/cmk/base/plugins/agent_based/site_object_counts.py,,check_site_object_counts$56,"for (counted_obj, count) in counts.items():
    yield Metric(('%s %s' % (cmds_or_tags, counted_obj)).lower().replace(' ', '_').replace('.', '_'), count)
    cmds_or_tags_info.append('%s %s' % (count, counted_obj))","for e_target in counts.items():
    count = e_target[1]
    counted_obj = e_target[0]
    yield Metric(('%s %s' % (cmds_or_tags, counted_obj)).lower().replace(' ', '_').replace('.', '_'), count)
    cmds_or_tags_info.append('%s %s' % (count, counted_obj))"
graph_nets,https://github.com/deepmind/graph_nets/tree/master/graph_nets/utils_tf.py,,_populate_number_fields$553,"for (number_field, data_field) in [[N_NODE, NODES], [N_EDGE, RECEIVERS]]:
    if dct.get(number_field) is None:
        if dct[data_field] is not None:
            dct[number_field] = tf.shape(dct[data_field])[0]
        else:
            dct[number_field] = tf.constant(0, dtype=tf.int32)","for e_target in [[N_NODE, NODES], [N_EDGE, RECEIVERS]]:
    data_field = e_target[1]
    number_field = e_target[0]
    if dct.get(number_field) is None:
        if dct[data_field] is not None:
            dct[number_field] = tf.shape(dct[data_field])[0]
        else:
            dct[number_field] = tf.constant(0, dtype=tf.int32)"
django-modeltranslation,https://github.com/deschler/django-modeltranslation/tree/master/modeltranslation/models.py,,autodiscover$4,"for (app, mod) in mods:
    module = '%s.translation' % app
    before_import_registry = copy.copy(translator._registry)
    try:
        import_module(module)
    except:
        translator._registry = before_import_registry
        if module_has_submodule(mod, 'translation'):
            raise","for e_target in mods:
    mod = e_target[1]
    app = e_target[0]
    module = '%s.translation' % app
    before_import_registry = copy.copy(translator._registry)
    try:
        import_module(module)
    except:
        translator._registry = before_import_registry
        if module_has_submodule(mod, 'translation'):
            raise"
trankit,https://github.com/nlp-uoregon/trankit/tree/master/trankit/adapter_transformers/data/processors/glue.py,RteProcessor,_create_examples$506,"for (i, line) in enumerate(lines):
    if i == 0:
        continue
    guid = '%s-%s' % (set_type, line[0])
    text_a = line[1]
    text_b = line[2]
    label = None if set_type == 'test' else line[-1]
    examples.append(InputExample(guid=guid, text_a=text_a, text_b=text_b, label=label))","for e_target in enumerate(lines):
    line = e_target[1]
    i = e_target[0]
    if i == 0:
        continue
    guid = '%s-%s' % (set_type, line[0])
    text_a = line[1]
    text_b = line[2]
    label = None if set_type == 'test' else line[-1]
    examples.append(InputExample(guid=guid, text_a=text_a, text_b=text_b, label=label))"
detect-secrets,https://github.com/Yelp/detect-secrets/tree/master/detect_secrets/audit/common.py,,get_raw_secrets_from_file$65,"for (line_number, line) in zip(line_numbers, lines_to_scan):
    identified_secrets = call_function_with_arguments(plugin.analyze_line, filename=secret.filename, line=line, line_number=line_number + 1, enable_eager_search=bool(secret.line_number))
    for identified_secret in identified_secrets or []:
        if identified_secret == secret:
            all_secrets.append(identified_secret)","for e_target in zip(line_numbers, lines_to_scan):
    line = e_target[1]
    line_number = e_target[0]
    identified_secrets = call_function_with_arguments(plugin.analyze_line, filename=secret.filename, line=line, line_number=line_number + 1, enable_eager_search=bool(secret.line_number))
    for identified_secret in identified_secrets or []:
        if identified_secret == secret:
            all_secrets.append(identified_secret)"
evalml,https://github.com/alteryx/evalml/tree/master/evalml/tests/automl_tests/test_automl.py,,test_pipeline_fit_raises$333,"for (name, score) in cv_scores['all_objective_scores'].items():
    if name in ['# Training', '# Validation']:
        assert score > 0
    else:
        assert np.isnan(score)","for e_target in cv_scores['all_objective_scores'].items():
    score = e_target[1]
    name = e_target[0]
    if name in ['# Training', '# Validation']:
        assert score > 0
    else:
        assert np.isnan(score)"
OpenFermion,https://github.com/quantumlib/OpenFermion/tree/master/src/openfermion/testing/testing_utils_test.py,RandomInteractionOperatorTest,test_symmetry$256,"for (p, q, r, s) in itertools.product(range(n_orbitals), repeat=4):
    self.assertAlmostEqual(two_body_coefficients[p, q, r, s], two_body_coefficients[r, q, p, s])
    self.assertAlmostEqual(two_body_coefficients[p, q, r, s], two_body_coefficients[p, s, r, q])
    self.assertAlmostEqual(two_body_coefficients[p, q, r, s], two_body_coefficients[s, r, q, p])
    self.assertAlmostEqual(two_body_coefficients[p, q, r, s], two_body_coefficients[q, p, s, r])
    self.assertAlmostEqual(two_body_coefficients[p, q, r, s], two_body_coefficients[r, s, p, q])
    self.assertAlmostEqual(two_body_coefficients[p, q, r, s], two_body_coefficients[s, p, q, r])
    self.assertAlmostEqual(two_body_coefficients[p, q, r, s], two_body_coefficients[q, r, s, p])","for e_target in itertools.product(range(n_orbitals), repeat=4):
    s = e_target[3]
    r = e_target[2]
    q = e_target[1]
    p = e_target[0]
    self.assertAlmostEqual(two_body_coefficients[p, q, r, s], two_body_coefficients[r, q, p, s])
    self.assertAlmostEqual(two_body_coefficients[p, q, r, s], two_body_coefficients[p, s, r, q])
    self.assertAlmostEqual(two_body_coefficients[p, q, r, s], two_body_coefficients[s, r, q, p])
    self.assertAlmostEqual(two_body_coefficients[p, q, r, s], two_body_coefficients[q, p, s, r])
    self.assertAlmostEqual(two_body_coefficients[p, q, r, s], two_body_coefficients[r, s, p, q])
    self.assertAlmostEqual(two_body_coefficients[p, q, r, s], two_body_coefficients[s, p, q, r])
    self.assertAlmostEqual(two_body_coefficients[p, q, r, s], two_body_coefficients[q, r, s, p])"
networkx,https://github.com/networkx/networkx/tree/master/networkx/algorithms/efficiency_measures.py,,global_efficiency$55,"for (source, targets) in lengths:
    for (target, distance) in targets.items():
        if distance > 0:
            g_eff += 1 / distance","for e_target in lengths:
    targets = e_target[1]
    source = e_target[0]
    for (target, distance) in targets.items():
        if distance > 0:
            g_eff += 1 / distance"
river,https://github.com/online-ml/river/tree/master/river/compat/river_to_sklearn.py,River2SKLTransformer,_partial_fit$418,"for (x, yi) in STREAM_METHODS[type(X)](X, y):
    self.instance_.learn_one(x, yi)","for e_target in STREAM_METHODS[type(X)](X, y):
    yi = e_target[1]
    x = e_target[0]
    self.instance_.learn_one(x, yi)"
dynaconf,https://github.com/rochacbruno/dynaconf/tree/master/dynaconf/vendor/box/box.py,Box,__init__$58,"for (D, C) in B[0]:
    A.__setitem__(D, C)","for e_target in B[0]:
    C = e_target[1]
    D = e_target[0]
    A.__setitem__(D, C)"
Red-DiscordBot,https://github.com/Cog-Creators/Red-DiscordBot/tree/master/redbot/cogs/trivia/trivia.py,Trivia,_get_leaderboard$527,"for (member, stats) in data.items():
    if stats['games'] != 0:
        stats['average_score'] = stats['total_score'] / stats['games']
    else:
        stats['average_score'] = 0.0","for e_target in data.items():
    stats = e_target[1]
    member = e_target[0]
    if stats['games'] != 0:
        stats['average_score'] = stats['total_score'] / stats['games']
    else:
        stats['average_score'] = 0.0"
anaconda,https://github.com/DamnWidget/anaconda/tree/master/anaconda_lib/jedi/api/helpers.py,CallDetails,calculate_index$223,"for (i, (star_count, key_start, had_equal)) in enumerate(args):
    is_kwarg |= had_equal | (star_count == 2)
    if star_count:
        pass
    elif i + 1 != len(args):
        if had_equal:
            used_names.add(key_start)
        else:
            positional_count += 1","for e_target in enumerate(args):
    had_equal = e_target[1][2]
    key_start = e_target[1][1]
    star_count = e_target[1][0]
    i = e_target[0]
    is_kwarg |= had_equal | (star_count == 2)
    if star_count:
        pass
    elif i + 1 != len(args):
        if had_equal:
            used_names.add(key_start)
        else:
            positional_count += 1"
soynlp,https://github.com/lovit/soynlp/tree/master/soynlp/predicator/_stem.py,StemExtractor,_conjugate_stem_and_eomi$36,"for (i, stem) in enumerate(stems):
    if self.verbose and i % 100 == 0:
        message = 'Checking combination of {} / {} stems + {} eomis'.format(i, n_stems, n_eomis)
        self._print(message, replace=True, newline=False)
    stem_len = len(stem)
    for eomi in eomis:
        try:
            for word in conjugate(stem, eomi):
                if eojeol_counter[word] == 0 or len(word) <= stem_len:
                    continue
                (l, r) = (word[:stem_len], word[stem_len:])
                stem_surfaces.add(l)
                eomi_surfaces.add(r)
        except:
            continue","for e_target in enumerate(stems):
    stem = e_target[1]
    i = e_target[0]
    if self.verbose and i % 100 == 0:
        message = 'Checking combination of {} / {} stems + {} eomis'.format(i, n_stems, n_eomis)
        self._print(message, replace=True, newline=False)
    stem_len = len(stem)
    for eomi in eomis:
        try:
            for word in conjugate(stem, eomi):
                if eojeol_counter[word] == 0 or len(word) <= stem_len:
                    continue
                (l, r) = (word[:stem_len], word[stem_len:])
                stem_surfaces.add(l)
                eomi_surfaces.add(r)
        except:
            continue"
capa,https://github.com/mandiant/capa/tree/master/scripts/lint.py,,collect_samples$859,"for (root, dirs, files) in os.walk(path):
    for name in files:
        if name.endswith('.viv'):
            continue
        if name.endswith('.idb'):
            continue
        if name.endswith('.i64'):
            continue
        if name.endswith('.frz'):
            continue
        if name.endswith('.fnames'):
            continue
        path = pathlib.Path(os.path.join(root, name))
        try:
            with path.open('rb') as f:
                buf = f.read()
        except IOError:
            continue
        sha256 = hashlib.sha256()
        sha256.update(buf)
        md5 = hashlib.md5()
        md5.update(buf)
        samples[sha256.hexdigest().lower()] = path
        samples[sha256.hexdigest().upper()] = path
        samples[md5.hexdigest().lower()] = path
        samples[md5.hexdigest().upper()] = path
        samples[name] = path","for e_target in os.walk(path):
    files = e_target[2]
    dirs = e_target[1]
    root = e_target[0]
    for name in files:
        if name.endswith('.viv'):
            continue
        if name.endswith('.idb'):
            continue
        if name.endswith('.i64'):
            continue
        if name.endswith('.frz'):
            continue
        if name.endswith('.fnames'):
            continue
        path = pathlib.Path(os.path.join(root, name))
        try:
            with path.open('rb') as f:
                buf = f.read()
        except IOError:
            continue
        sha256 = hashlib.sha256()
        sha256.update(buf)
        md5 = hashlib.md5()
        md5.update(buf)
        samples[sha256.hexdigest().lower()] = path
        samples[sha256.hexdigest().upper()] = path
        samples[md5.hexdigest().lower()] = path
        samples[md5.hexdigest().upper()] = path
        samples[name] = path"
discord.py,https://github.com/Rapptz/discord.py/tree/master/discord/client.py,Client,dispatch$365,"for (i, (future, condition)) in enumerate(listeners):
    if future.cancelled():
        removed.append(i)
        continue
    try:
        result = condition(*args)
    except Exception as exc:
        future.set_exception(exc)
        removed.append(i)
    else:
        if result:
            if len(args) == 0:
                future.set_result(None)
            elif len(args) == 1:
                future.set_result(args[0])
            else:
                future.set_result(args)
            removed.append(i)","for e_target in enumerate(listeners):
    condition = e_target[1][1]
    future = e_target[1][0]
    i = e_target[0]
    if future.cancelled():
        removed.append(i)
        continue
    try:
        result = condition(*args)
    except Exception as exc:
        future.set_exception(exc)
        removed.append(i)
    else:
        if result:
            if len(args) == 0:
                future.set_result(None)
            elif len(args) == 1:
                future.set_result(args[0])
            else:
                future.set_result(args)
            removed.append(i)"
