repo_name,file_html,cl,me,simple_code,cmplete_code,count_tmp,count_targets,count_star_total,count_tmp_func,
chainerrl,https://github.com/chainer/chainerrl/tree/master/chainerrl/envs/multiprocess_vector_env.py,,worker$12,"(cmd, data) = remote.recv()","tmp_fun_0 = remote.recv()
cmd = tmp_fun_0[0]
data = tmp_fun_0[1]
",0,0,0,1,
flask_jsondash,https://github.com/christabor/flask_jsondash/tree/master/tests/test_charts_builder.py,,test_create_valid$196,"(_, test) = client","_ = client[0]
test = client[1]
",0,0,0,0,
authentik,https://github.com/goauthentik/authentik/tree/master/authentik/core/api/users.py,UserViewSet,_create_recovery_link$309,"(token, __) = FlowToken.objects.update_or_create(identifier=f'{user.uid}-password-reset', defaults={'user': user, 'flow': flow, '_plan': FlowToken.pickle(plan)})","tmp_fun_0 = FlowToken.objects.update_or_create(identifier=f'{user.uid}-password-reset', defaults={'user': user, 'flow': flow, '_plan': FlowToken.pickle(plan)})
token = tmp_fun_0[0]
__ = tmp_fun_0[1]
",0,0,0,1,
tvm,https://github.com/apache/tvm/tree/master/python/tvm/relay/quantize/_annotate.py,,batch_matmul_rewrite$413,"(lhs_expr, lhs_kind) = _get_expr_kind(new_args[0])","tmp_fun_0 = _get_expr_kind(new_args[0])
lhs_expr = tmp_fun_0[0]
lhs_kind = tmp_fun_0[1]
",0,0,0,1,
open_model_zoo,https://github.com/openvinotoolkit/open_model_zoo/tree/master/demos/instance_segmentation_demo/python/instance_segmentation_demo/visualizer.py,Visualizer,overlay_boxes$140,"(top_left, bottom_right) = (box[:2].tolist(), box[2:].tolist())","top_left = box[:2].tolist()
bottom_right = box[2:].tolist()
",0,0,0,0,
Paddle,https://github.com/PaddlePaddle/Paddle/tree/master/python/paddle/fluid/layers/control_flow.py,IfElse,input$2831,"(out_true, out_false) = self.input_table[id(x)]","tmp_fun_0 = self.input_table[id(x)]
out_true = tmp_fun_0[0]
out_false = tmp_fun_0[1]
",0,0,0,1,
rally,https://github.com/elastic/rally/tree/master/esrally/tracker/tracker.py,,create_track$71,"(indices, corpora) = extract_mappings_and_corpora(client, output_path, indices)","tmp_fun_0 = extract_mappings_and_corpora(client, output_path, indices)
indices = tmp_fun_0[0]
corpora = tmp_fun_0[1]
",0,0,0,1,
exbert,https://github.com/bhoov/exbert/tree/master/server/transformers/templates/adding_a_new_model/tests/test_modeling_xxx.py,XxxModelTester,create_and_check_xxx_for_token_classification$210,"(loss, logits) = model(input_ids, attention_mask=input_mask, token_type_ids=token_type_ids, labels=token_labels)","tmp_fun_0 = model(input_ids, attention_mask=input_mask, token_type_ids=token_type_ids, labels=token_labels)
loss = tmp_fun_0[0]
logits = tmp_fun_0[1]
",0,0,0,1,
lighttrack,https://github.com/Guanghan/lighttrack/tree/master/HPE/train_PoseTrack_COCO_17_MSRA152.py,Network,make_data$97,"(train_data, _) = d.load_data(cfg.min_kps)","tmp_fun_0 = d.load_data(cfg.min_kps)
train_data = tmp_fun_0[0]
_ = tmp_fun_0[1]
",0,0,0,1,
AnimeGANv2,https://github.com/TachibanaYoshino/AnimeGANv2/tree/master//AnimeGANv2.py,AnimeGANv2,build_model$127,"(c_loss, s_loss) = con_sty_loss(self.vgg, self.real, self.anime_gray, self.generated)","tmp_fun_0 = con_sty_loss(self.vgg, self.real, self.anime_gray, self.generated)
c_loss = tmp_fun_0[0]
s_loss = tmp_fun_0[1]
",0,0,0,1,
kombu,https://github.com/celery/kombu/tree/master/t/unit/test_mixins.py,test_ConsumerMixin_interface,test_run$192,consume = self.c.consume = Mock(name='c.consume'),"tmp_value = Mock(name='c.consume')
consume = tmp_value
self.c.consume = tmp_value
",0,2,0,0,
pyhsmm,https://github.com/mattjj/pyhsmm/tree/master/pyhsmm/internals/hsmm_states.py,,hsmm_sample_forwards_log$1044,"(obs, offset) = (obs[:, state], offset[state])","obs = obs[:, state]
offset = offset[state]
",0,0,0,0,
espnet,https://github.com/espnet/espnet/tree/master/egs2/TEMPLATE/enh1/scripts/utils/calculate_speech_metrics.py,,scoring$22,"(ref_spec, flens) = stft(torch.from_numpy(ref), ilens)","tmp_fun_0 = stft(torch.from_numpy(ref), ilens)
ref_spec = tmp_fun_0[0]
flens = tmp_fun_0[1]
",0,0,0,1,
mars,https://github.com/mars-project/mars/tree/master/mars/dataframe/missing/fillna.py,,fillna$483,"(value, value_df) = (None, value)","tmp0 = value
value = None
value_df = tmp0
",1,0,0,0,
fastformers,https://github.com/microsoft/fastformers/tree/master/src/transformers/modeling_tf_gpt2.py,TFBlock,call$192,"(x, layer_past, attention_mask, head_mask, use_cache, output_attentions) = inputs","x = inputs[0]
layer_past = inputs[1]
attention_mask = inputs[2]
head_mask = inputs[3]
use_cache = inputs[4]
output_attentions = inputs[5]
",0,0,0,0,
qiskit-terra,https://github.com/Qiskit/qiskit-terra/tree/master/qiskit/visualization/pulse_v2/events.py,ChannelEvents,get_frame_changes$196,"(phase, frequency) = ChannelEvents._calculate_current_frame(frame_changes=frame_changes, phase=phase, frequency=frequency)","tmp_fun_0 = ChannelEvents._calculate_current_frame(frame_changes=frame_changes, phase=phase, frequency=frequency)
phase = tmp_fun_0[0]
frequency = tmp_fun_0[1]
",0,0,0,1,
sympy,https://github.com/sympy/sympy/tree/master/sympy/polys/numberfields/tests/test_modules.py,,test_ModuleElement_compatibility$466,"(u, v) = C(0).unify(D(0))","tmp_fun_0 = C(0).unify(D(0))
u = tmp_fun_0[0]
v = tmp_fun_0[1]
",0,0,0,1,
bayespy,https://github.com/bayespy/bayespy/tree/master/bayespy/inference/vmp/nodes/tests/test_gaussian_markov_chain.py,TestGaussianMarkovChain,test_message_to_child$341,"(mu0, mumu0) = Mu.get_moments()","tmp_fun_0 = Mu.get_moments()
mu0 = tmp_fun_0[0]
mumu0 = tmp_fun_0[1]
",0,0,0,1,
zipline,https://github.com/quantopian/zipline/tree/master/zipline/data/in_memory_daily_bars.py,,verify_frames_aligned$142,"(start, end) = indexes[0][[0, -1]]","start = indexes[0][[0, -1]][0]
end = indexes[0][[0, -1]][1]
",0,0,0,0,
freqtrade,https://github.com/freqtrade/freqtrade/tree/master/freqtrade/freqtradebot.py,FreqtradeBot,replace_order$1273,"(analyzed_df, _) = self.dataprovider.get_analyzed_dataframe(trade.pair, self.strategy.timeframe)","tmp_fun_0 = self.dataprovider.get_analyzed_dataframe(trade.pair, self.strategy.timeframe)
analyzed_df = tmp_fun_0[0]
_ = tmp_fun_0[1]
",0,0,0,1,
jax,https://github.com/google/jax/tree/master/jax/_src/numpy/linalg.py,,norm$395,"(row_axis, col_axis) = cast(Tuple[int, ...], axis)","tmp_fun_0 = cast(Tuple[int, ...], axis)
row_axis = tmp_fun_0[0]
col_axis = tmp_fun_0[1]
",0,0,0,1,
CCNet,https://github.com/speedinghzl/CCNet/tree/master/dataset/datasets.py,CSDataSet,__getitem__$173,"(img_h, img_w) = label.shape","img_h = label.shape[0]
img_w = label.shape[1]
",0,0,0,0,
RCAN,https://github.com/yulunzhang/RCAN/tree/master/RCAN_TestCode/code/data/common.py,,get_patch$11,"(ih, iw) = img_in.shape[:2]","ih = img_in.shape[:2][0]
iw = img_in.shape[:2][1]
",0,0,0,0,
fair_self_supervision_benchmark,https://github.com/facebookresearch/fair_self_supervision_benchmark/tree/master/self_supervision_benchmark/modeling/jigsaw/resnet_jigsaw_finetune_linear.py,,create_model$37,"(blob_in, dim_in) = siamese_model_helper.residual_layer(residual_block, blob_in, dim_in, 1024, stride=2, num_blocks=n3, prefix='res4', index=0, dim_inner=256)","tmp_fun_0 = siamese_model_helper.residual_layer(residual_block, blob_in, dim_in, 1024, stride=2, num_blocks=n3, prefix='res4', index=0, dim_inner=256)
blob_in = tmp_fun_0[0]
dim_in = tmp_fun_0[1]
",0,0,0,1,
pytorch3d,https://github.com/facebookresearch/pytorch3d/tree/master/tests/test_blending.py,TestBlending,test_hard_rgb_blend$168,"(N, H, W, K) = (5, 10, 10, 20)","N = 5
H = 10
W = 10
K = 20
",0,0,0,0,
PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR/tree/master/deploy/hubserving/ocr_system/module.py,OCRSystem,predict$82,"(text, score) = rec_res[dno]","text = rec_res[dno][0]
score = rec_res[dno][1]
",0,0,0,0,
lidar-bonnetal,https://github.com/PRBonn/lidar-bonnetal/tree/master/train/tasks/semantic/decoders/darknet.py,Decoder,forward$118,"(x, skips, os) = self.run_layer(x, self.dec4, skips, os)","tmp_fun_0 = self.run_layer(x, self.dec4, skips, os)
x = tmp_fun_0[0]
skips = tmp_fun_0[1]
os = tmp_fun_0[2]
",0,0,0,1,
espresso,https://github.com/freewym/espresso/tree/master/fairseq/models/wav2vec/wav2vec.py,Wav2VecPredictionsModel,sample_negatives$516,"(bsz, fsz, tsz) = y.shape","bsz = y.shape[0]
fsz = y.shape[1]
tsz = y.shape[2]
",0,0,0,0,
gistandard,https://github.com/RobbieHan/gistandard/tree/master/extra_apps/DjangoUeditor/views.py,,catcher_remote_image$228,"(remote_original_name, remote_original_ext) = os.path.splitext(remote_file_name)","tmp_fun_0 = os.path.splitext(remote_file_name)
remote_original_name = tmp_fun_0[0]
remote_original_ext = tmp_fun_0[1]
",0,0,0,1,
sympy,https://github.com/sympy/sympy/tree/master/sympy/solvers/ode/riccati.py,,rational_laurent_series$572,"(num, den) = (num * x ** m).cancel(den, include=True)","tmp_fun_0 = (num * x ** m).cancel(den, include=True)
num = tmp_fun_0[0]
den = tmp_fun_0[1]
",0,0,0,1,
wifipumpkin3,https://github.com/P0cL4bs/wifipumpkin3/tree/master/wifipumpkin3/core/servers/proxy/pumpkin_proxy.py,PumpKinProxy,parser_set_pumpkinproxy$104,"(name_plugin, key_plugin) = (plugin_name.split('.')[1], plugin_name.split('.')[2])","name_plugin = plugin_name.split('.')[1]
key_plugin = plugin_name.split('.')[2]
",0,0,0,0,
sympy,https://github.com/sympy/sympy/tree/master/sympy/integrals/tests/test_integrals.py,,test_issue_12645$1466,"(x, y) = symbols('x y', real=True)","tmp_fun_0 = symbols('x y', real=True)
x = tmp_fun_0[0]
y = tmp_fun_0[1]
",0,0,0,1,
pyglet,https://github.com/pyglet/pyglet/tree/master/tests/unit/media/test_player.py,PlayerTestCase,_assert_player_created_for$95,"(args, kwargs) = call_args","args = call_args[0]
kwargs = call_args[1]
",0,0,0,0,
neon,https://github.com/NervanaSystems/neon/tree/master/tests/test_gradient_mlp.py,,test_mlp$72,NervanaObject.be.bsz = NervanaObject.be.batch_size = batch_size,"tmp_value = batch_size
NervanaObject.be.bsz = tmp_value
NervanaObject.be.batch_size = tmp_value
",0,2,0,0,
modin,https://github.com/modin-project/modin/tree/master/modin/test/storage_formats/pandas/test_internals.py,,test_apply_func_to_both_axis$62,"(md_df, pd_df) = create_test_dfs(data)","tmp_fun_0 = create_test_dfs(data)
md_df = tmp_fun_0[0]
pd_df = tmp_fun_0[1]
",0,0,0,1,
videos,https://github.com/3b1b/videos/tree/master/_2019/minute_physics_gr_equations.py,GREquations,construct$17,"(sys1_rects, sys2_rects) = [VGroup(*map(self.get_rects, sys)) for sys in [sys1, sys2]]","(sys1_rects, sys2_rects) = [VGroup(*map(self.get_rects, sys)) for sys in [sys1, sys2]]
",0,0,1,0,
electrum,https://github.com/spesmilo/electrum/tree/master/electrum/rsakey.py,,invMod$162,"(uc, ud) = (ud - q * uc, uc)","tmp0 = uc
uc = ud - q * uc
ud = tmp0
",1,0,0,0,
LinOTP,https://github.com/LinOTP/LinOTP/tree/master/linotp/lib/user.py,,getUserId$1343,"(_login, uid, _user_info) = lookup_user_in_resolver(user.login, None, resolver_spec)","tmp_fun_0 = lookup_user_in_resolver(user.login, None, resolver_spec)
_login = tmp_fun_0[0]
uid = tmp_fun_0[1]
_user_info = tmp_fun_0[2]
",0,0,0,1,
typesystem,https://github.com/encode/typesystem/tree/master/tests/test_fields.py,,test_validation_error_is_hashable$836,"(_, error) = validator.validate_or_error('abc')","tmp_fun_0 = validator.validate_or_error('abc')
_ = tmp_fun_0[0]
error = tmp_fun_0[1]
",0,0,0,1,
jcvi,https://github.com/tanghaibao/jcvi/tree/master/jcvi/graphics/histogram.py,,histogram$172,"(data, vmin, vmax) = get_data(numberfile, vmin, vmax, skip=skip, col=col)","tmp_fun_0 = get_data(numberfile, vmin, vmax, skip=skip, col=col)
data = tmp_fun_0[0]
vmin = tmp_fun_0[1]
vmax = tmp_fun_0[2]
",0,0,0,1,
fastformers,https://github.com/microsoft/fastformers/tree/master/src/transformers/modeling_ctrl.py,,scaled_dot_product_attention$59,"(nd, ns) = (scaled_attention_logits.size(-2), scaled_attention_logits.size(-1))","nd = scaled_attention_logits.size(-2)
ns = scaled_attention_logits.size(-1)
",0,0,0,0,
mmdetection,https://github.com/open-mmlab/mmdetection/tree/master/mmdet/core/anchor/anchor_generator.py,AnchorGenerator,single_level_valid_flags$419,"(feat_h, feat_w) = featmap_size","feat_h = featmap_size[0]
feat_w = featmap_size[1]
",0,0,0,0,
NVTabular,https://github.com/NVIDIA-Merlin/NVTabular/tree/master//versioneer.py,,git_pieces_from_vcs$1196,"(branches, rc) = runner(GITS, ['branch', '--contains'], cwd=root)","tmp_fun_0 = runner(GITS, ['branch', '--contains'], cwd=root)
branches = tmp_fun_0[0]
rc = tmp_fun_0[1]
",0,0,0,1,
garage,https://github.com/rlworkgroup/garage/tree/master/src/garage/tf/policies/gaussian_mlp_task_embedding_policy.py,GaussianMLPTaskEmbeddingPolicy,get_actions_given_latents$297,"(samples, means, log_stds) = self._f_dist_obs_latent(flat_obses, flat_latents)","tmp_fun_0 = self._f_dist_obs_latent(flat_obses, flat_latents)
samples = tmp_fun_0[0]
means = tmp_fun_0[1]
log_stds = tmp_fun_0[2]
",0,0,0,1,
texar-pytorch,https://github.com/asyml/texar-pytorch/tree/master/tests/modules/encoders/roberta_encoder_test.py,RoBERTaEncoderTest,test_hparams$45,"(_, _) = encoder(self.inputs)","tmp_fun_0 = encoder(self.inputs)
_ = tmp_fun_0[0]
_ = tmp_fun_0[1]
",0,0,0,1,
football,https://github.com/google-research/football/tree/master/gfootball/env/football_env_test.py,FootballEnvTest,test_score_empty_goal$215,"(o, reward, done, _) = env.step(football_action_set.action_right)","tmp_fun_0 = env.step(football_action_set.action_right)
o = tmp_fun_0[0]
reward = tmp_fun_0[1]
done = tmp_fun_0[2]
_ = tmp_fun_0[3]
",0,0,0,1,
kaolin,https://github.com/NVIDIAGameWorks/kaolin/tree/master/kaolin/ops/mesh/check_sign.py,_UnbatchedMeshIntersector,query$182,"(points_indices, tri_indices) = self._tri_intersector2d.query(points[:, :2])","tmp_fun_0 = self._tri_intersector2d.query(points[:, :2])
points_indices = tmp_fun_0[0]
tri_indices = tmp_fun_0[1]
",0,0,0,1,
forseti-security,https://github.com/forseti-security/forseti-security/tree/master/google/cloud/forseti/services/dao.py,,define_model$229,"(m_type, name) = member.split('/', 1)","tmp_fun_0 = member.split('/', 1)
m_type = tmp_fun_0[0]
name = tmp_fun_0[1]
",0,0,0,1,
unilm,https://github.com/microsoft/unilm/tree/master/markuplm/examples/fine_tuning/run_swde/run.py,,do_something$407,"(global_step, tr_loss) = train(args, train_dataset, model, tokenizer, sub_output_dir)","tmp_fun_0 = train(args, train_dataset, model, tokenizer, sub_output_dir)
global_step = tmp_fun_0[0]
tr_loss = tmp_fun_0[1]
",0,0,0,1,
fuel,https://github.com/mila-iqia/fuel/tree/master/tests/converters/test_convert_ilsvrc2012.py,,test_prepare_metadata$19,"(n_train, v_gt, n_test, wnid_map) = prepare_metadata(devkit_path)","tmp_fun_0 = prepare_metadata(devkit_path)
n_train = tmp_fun_0[0]
v_gt = tmp_fun_0[1]
n_test = tmp_fun_0[2]
wnid_map = tmp_fun_0[3]
",0,0,0,1,
pmdarima,https://github.com/alkaline-ml/pmdarima/tree/master/pmdarima/arima/approx.py,,_regularize$39,"(x, y) = [check_endog(arr, dtype=DTYPE, preserve_series=False) for arr in (x, y)]","tmp_fun_0 = [check_endog(arr, dtype=DTYPE, preserve_series=False) for arr in (x, y)]
x = tmp_fun_0[0]
y = tmp_fun_0[1]
",0,0,0,1,
papermill,https://github.com/nteract/papermill/tree/master/papermill/tests/test_adl.py,ADLTest,test_split_url_splits_valid_url$30,"(store_name, path) = ADL._split_url('adl://foo.azuredatalakestore.net/bar/baz')","tmp_fun_0 = ADL._split_url('adl://foo.azuredatalakestore.net/bar/baz')
store_name = tmp_fun_0[0]
path = tmp_fun_0[1]
",0,0,0,1,
matplotlib,https://github.com/matplotlib/matplotlib/tree/master/lib/matplotlib/tests/test_axes.py,,test_artist_sublists$8056,"(fig, ax) = plt.subplots()","tmp_fun_0 = plt.subplots()
fig = tmp_fun_0[0]
ax = tmp_fun_0[1]
",0,0,0,1,
transformer-xl,https://github.com/kimiyoung/transformer-xl/tree/master/tf/tpu_estimator.py,_OutfeedHostCall,record$1679,"(host_fn, tensor_list_or_dict) = host_call","host_fn = host_call[0]
tensor_list_or_dict = host_call[1]
",0,0,0,0,
jax,https://github.com/google/jax/tree/master/tests/scipy_optimize_test.py,,func$44,"(x, y) = p","x = p[0]
y = p[1]
",0,0,0,0,
lingvo,https://github.com/tensorflow/lingvo/tree/master/lingvo/tasks/car/tools/kitti_data.py,,LoadCalibrationFile$208,"(key, value) = line.split(':', 1)","tmp_fun_0 = line.split(':', 1)
key = tmp_fun_0[0]
value = tmp_fun_0[1]
",0,0,0,1,
TSD,https://github.com/Sense-X/TSD/tree/master/mmdet/datasets/utils/eval.py,ObjectDetectionEvaluation,add_single_detected_image_info$499,"(scores, tp_fp_labels, is_class_correctly_detected_in_image) = self.per_image_eval.compute_object_detection_metrics(detected_boxes=detected_boxes, detected_scores=detected_scores, detected_class_labels=detected_class_labels, groundtruth_boxes=groundtruth_boxes, groundtruth_class_labels=groundtruth_class_labels, groundtruth_is_difficult_list=groundtruth_is_difficult_list, groundtruth_is_group_of_list=groundtruth_is_group_of_list, detected_masks=detected_masks, groundtruth_masks=groundtruth_masks)","tmp_fun_0 = self.per_image_eval.compute_object_detection_metrics(detected_boxes=detected_boxes, detected_scores=detected_scores, detected_class_labels=detected_class_labels, groundtruth_boxes=groundtruth_boxes, groundtruth_class_labels=groundtruth_class_labels, groundtruth_is_difficult_list=groundtruth_is_difficult_list, groundtruth_is_group_of_list=groundtruth_is_group_of_list, detected_masks=detected_masks, groundtruth_masks=groundtruth_masks)
scores = tmp_fun_0[0]
tp_fp_labels = tmp_fun_0[1]
is_class_correctly_detected_in_image = tmp_fun_0[2]
",0,0,0,1,
PolarMask,https://github.com/xieenze/PolarMask/tree/master/mmdet/models/anchor_heads/fcos_instance_head_miou_mskctness.py,FCOS_Instance_Head_MIOU_MSKCTNESS,loss$209,"(labels, bbox_targets, mask_targets) = self.fcos_target(all_level_points, extra_data)","tmp_fun_0 = self.fcos_target(all_level_points, extra_data)
labels = tmp_fun_0[0]
bbox_targets = tmp_fun_0[1]
mask_targets = tmp_fun_0[2]
",0,0,0,1,
rpg_trajectory_evaluation,https://github.com/uzh-rpg/rpg_trajectory_evaluation/tree/master/src/rpg_trajectory_evaluation/transformations.py,,euler_matrix$1200,"(firstaxis, parity, repetition, frame) = axes","firstaxis = axes[0]
parity = axes[1]
repetition = axes[2]
frame = axes[3]
",0,0,0,0,
espresso,https://github.com/freewym/espresso/tree/master/examples/textless_nlp/gslm/unit2speech/glow.py,WaveGlow,forward$207,"(spect, audio) = forward_input","spect = forward_input[0]
audio = forward_input[1]
",0,0,0,0,
fairseq,https://github.com/pytorch/fairseq/tree/master/examples/simultaneous_translation/tests/test_text_models.py,InfiniteLookbackTestCase,test_expected_attention$304,"(_, extra_out) = self.model.forward(**sample['net_input'])","tmp_fun_0 = self.model.forward(**sample['net_input'])
_ = tmp_fun_0[0]
extra_out = tmp_fun_0[1]
",0,0,0,1,
bi-att-flow,https://github.com/allenai/bi-att-flow/tree/master/basic/read_data.py,,data_filter$228,"(rx, rcx, q, cq, y) = (data_point[key] for key in ('*x', '*cx', 'q', 'cq', 'y'))","rx = (data_point[key] for key in ('*x', '*cx', 'q', 'cq', 'y'))[0]
rcx = (data_point[key] for key in ('*x', '*cx', 'q', 'cq', 'y'))[1]
q = (data_point[key] for key in ('*x', '*cx', 'q', 'cq', 'y'))[2]
cq = (data_point[key] for key in ('*x', '*cx', 'q', 'cq', 'y'))[3]
y = (data_point[key] for key in ('*x', '*cx', 'q', 'cq', 'y'))[4]
",0,0,0,0,
OpenPCDet,https://github.com/open-mmlab/OpenPCDet/tree/master/pcdet/models/detectors/pv_rcnn.py,PVRCNN,get_training_loss$24,"(loss_point, tb_dict) = self.point_head.get_loss(tb_dict)","tmp_fun_0 = self.point_head.get_loss(tb_dict)
loss_point = tmp_fun_0[0]
tb_dict = tmp_fun_0[1]
",0,0,0,1,
KILT,https://github.com/facebookresearch/KILT/tree/master/kilt/datasets/fact_verification.py,FactVerificationDataset,process_chunk$134,"(paragraph_id, start_character, end_character, bleu) = utils.match_answer(text, page, nlp=self.nlp, debug=False)","tmp_fun_0 = utils.match_answer(text, page, nlp=self.nlp, debug=False)
paragraph_id = tmp_fun_0[0]
start_character = tmp_fun_0[1]
end_character = tmp_fun_0[2]
bleu = tmp_fun_0[3]
",0,0,0,1,
Merlion,https://github.com/salesforce/Merlion/tree/master/merlion/models/base.py,ModelBase,transform_time_series$316,"(time_series_prev, time_series) = self.transform(time_series).bisect(t0, t_in_left=False)","tmp_fun_0 = self.transform(time_series).bisect(t0, t_in_left=False)
time_series_prev = tmp_fun_0[0]
time_series = tmp_fun_0[1]
",0,0,0,1,
fiftyone,https://github.com/voxel51/fiftyone/tree/master/fiftyone/utils/cvat.py,CVATVideoPolyline,from_polyline$2719,"(outside, occluded, keyframe, attributes) = cls._parse_attributes(polyline)","tmp_fun_0 = cls._parse_attributes(polyline)
outside = tmp_fun_0[0]
occluded = tmp_fun_0[1]
keyframe = tmp_fun_0[2]
attributes = tmp_fun_0[3]
",0,0,0,1,
face.evoLVe,https://github.com/ZhaoJ9014/face.evoLVe/tree/master/util/extract_feature_v1.py,,extract_feature$39,"(batch, _) = iter_loader.next()","tmp_fun_0 = iter_loader.next()
batch = tmp_fun_0[0]
_ = tmp_fun_0[1]
",0,0,0,1,
mesh,https://github.com/tensorflow/mesh/tree/master/mesh_tensorflow/transformer/funnel_transformer_test.py,FunnelTransformerTest,test_layer_stack_call_padding_handling$99,"(layer_stack, context) = create_dummy_model(self.converter.mesh, shapes=x.shape)","tmp_fun_0 = create_dummy_model(self.converter.mesh, shapes=x.shape)
layer_stack = tmp_fun_0[0]
context = tmp_fun_0[1]
",0,0,0,1,
moto,https://github.com/spulec/moto/tree/master/tests/test_eks/test_eks.py,NodegroupTestDataFactory,__init__$148,"(self.existing_nodegroup_name, self.nonexistent_nodegroup_name) = random_names(self.nodegroup_names)","tmp_fun_0 = random_names(self.nodegroup_names)
self.existing_nodegroup_name = tmp_fun_0[0]
self.nonexistent_nodegroup_name = tmp_fun_0[1]
",0,0,0,1,
urllib3,https://github.com/urllib3/urllib3/tree/master/src/urllib3/util/connection.py,,create_connection$27,"(af, socktype, proto, canonname, sa) = res","af = res[0]
socktype = res[1]
proto = res[2]
canonname = res[3]
sa = res[4]
",0,0,0,0,
Multilingual_Text_to_Speech,https://github.com/Tomiinek/Multilingual_Text_to_Speech/tree/master/dataset/dataset.py,TextToSpeechDataset,create_meta_file$193,"(raw_text, audio_path, speaker, language) = items[i]","raw_text = items[i][0]
audio_path = items[i][1]
speaker = items[i][2]
language = items[i][3]
",0,0,0,0,
sympy,https://github.com/sympy/sympy/tree/master/sympy/polys/solvers.py,,solve_lin_sys$182,"(c, s) = k.as_coeff_Mul()","tmp_fun_0 = k.as_coeff_Mul()
c = tmp_fun_0[0]
s = tmp_fun_0[1]
",0,0,0,1,
pyatv,https://github.com/postlund/pyatv/tree/master/tests/fake_device/companion.py,FakeCompanionService,data_received$139,"(unpacked, _) = opack.unpack(data)","tmp_fun_0 = opack.unpack(data)
unpacked = tmp_fun_0[0]
_ = tmp_fun_0[1]
",0,0,0,1,
lingvo,https://github.com/tensorflow/lingvo/tree/master/lingvo/core/wpm_encoder_test.py,WpmEncoderTest,testDitto$61,"(ids, strs) = self._enc.Encode('Ditto')","tmp_fun_0 = self._enc.Encode('Ditto')
ids = tmp_fun_0[0]
strs = tmp_fun_0[1]
",0,0,0,1,
mmdetection,https://github.com/open-mmlab/mmdetection/tree/master/.dev_scripts/gather_train_benchmark_metric.py,,if_main_my$42,"(filename, sufflx) = osp.splitext(args.excel)","tmp_fun_0 = osp.splitext(args.excel)
filename = tmp_fun_0[0]
sufflx = tmp_fun_0[1]
",0,0,0,1,
astropy,https://github.com/astropy/astropy/tree/master/astropy/units/tests/test_quantity_non_ufuncs.py,TestLinAlg,test_lstsq$2051,"(xx, residualsx, rankx, sx) = np.linalg.lstsq(self.q.value, b.value, rcond=None)","tmp_fun_0 = np.linalg.lstsq(self.q.value, b.value, rcond=None)
xx = tmp_fun_0[0]
residualsx = tmp_fun_0[1]
rankx = tmp_fun_0[2]
sx = tmp_fun_0[3]
",0,0,0,1,
scrapy,https://github.com/scrapy/scrapy/tree/master/tests/test_webclient.py,WebClientTestCase,testFactoryInfo$335,"(_, _, host, port, _) = client._parse(url)","tmp_fun_0 = client._parse(url)
_ = tmp_fun_0[0]
_ = tmp_fun_0[1]
host = tmp_fun_0[2]
port = tmp_fun_0[3]
_ = tmp_fun_0[4]
",0,0,0,1,
OpenSeq2Seq,https://github.com/NVIDIA/OpenSeq2Seq/tree/master/open_seq2seq/models/speech2text.py,Speech2Text,maybe_print_logs$198,"(y, len_y) = input_values['target_tensors']","y = input_values['target_tensors'][0]
len_y = input_values['target_tensors'][1]
",0,0,0,0,
DeepCTR-Torch,https://github.com/shenweichen/DeepCTR-Torch/tree/master/deepctr_torch/layers/sequence.py,AUGRUCell,forward$269,"(h_r, h_z, h_n) = gh.chunk(3, 1)","tmp_fun_0 = gh.chunk(3, 1)
h_r = tmp_fun_0[0]
h_z = tmp_fun_0[1]
h_n = tmp_fun_0[2]
",0,0,0,1,
Lasagne,https://github.com/Lasagne/Lasagne/tree/master/lasagne/tests/test_regularization.py,TestRegularizationHelpers,test_regularize_layer_params_multiple_layers$64,"(l_1, l_2, l_3) = layers","l_1 = layers[0]
l_2 = layers[1]
l_3 = layers[2]
",0,0,0,0,
aiogram,https://github.com/aiogram/aiogram/tree/master/aiogram/contrib/fsm_storage/files.py,_FileStorage,__init__$10,path = self.path = pathlib.Path(path),"tmp_value = pathlib.Path(path)
path = tmp_value
self.path = tmp_value
",0,2,0,0,
DeepMoji,https://github.com/bfelbo/DeepMoji/tree/master/deepmoji/sentence_tokenizer.py,SentenceTokenizer,split_train_val_test$132,"(ind_train, ind_test) = train_test_split(ind, test_size=split_parameter[2])","tmp_fun_0 = train_test_split(ind, test_size=split_parameter[2])
ind_train = tmp_fun_0[0]
ind_test = tmp_fun_0[1]
",0,0,0,1,
tvm,https://github.com/apache/tvm/tree/master/tests/python/unittest/test_meta_schedule_task_scheduler.py,MatmulModule,main$37,"(vi, vj, vk) = T.axis.remap('SSR', [i, j, k])","tmp_fun_0 = T.axis.remap('SSR', [i, j, k])
vi = tmp_fun_0[0]
vj = tmp_fun_0[1]
vk = tmp_fun_0[2]
",0,0,0,1,
pytorch_sparse,https://github.com/rusty1s/pytorch_sparse/tree/master/torch_sparse/saint.py,,saint_subgraph$7,"(row, col, edge_index) = data","row = data[0]
col = data[1]
edge_index = data[2]
",0,0,0,0,
